;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0.095187;0.019621;0;0.0016006;0.9646;0.032896;0.011465;0.080219;0.006422;0;0.070714;0.003254;0.003254
1;0.065331;0.013092;0;0.0015272;0.92035;0.058618;0.01734;0.077616;0.0055268;0;0.040698;0.006571;0.006571
2;0.060357;0.012236;0;0.033437;0.10619;0.014454;0.0038633;0.086886;0.0038666;0;0.010665;0.0098715;0.0098715
3;0.060334;0.011337;0;0.07002;0.22124;0.037473;0.0090376;0.083203;0.0092163;0;0.0099258;0.0099258;0.0099258
4;0.059467;0.011794;0;0.093716;0.070796;0.01659;0.0051915;0.12234;0.0037466;0;0.0099258;0.0099258;0.0099258
5;0.058359;0.011562;0;0.16409;0.035398;0.034073;0.010693;0.078533;0.0036534;0;0.009901;0.009901;0.009901
6;0.055628;0.011225;0;0.21879;0.20354;0.12262;0.036887;0.070296;0.0046799;0;0.0098763;0.0098763;0.0098763
7;0.055142;0.010999;0;0.012117;0.58407;0.087955;0.034295;0.0682;0.00438;0;0.0098515;0.0098515;0.0098515
8;0.051696;0.010929;0;0.45237;0.29241;0.34141;0.14594;0.066875;0.0041826;0;0.0098268;0.0098268;0.0098268
9;0.053711;0.010379;0;0.21842;0.39571;0.16152;0.069105;0.054658;0.0045832;0;0.009802;0.009802;0.009802
10;0.050123;0.010655;0;0.14451;0.23894;0.10655;0.036479;0.060051;0.006218;0;0.0097773;0.0097773;0.0097773
11;0.048415;0.010361;0;0.54085;0.52121;0.50936;0.2106;0.055727;0.0038902;0;0.0097525;0.0097525;0.0097525
12;0.049959;0.01045;0;0.17955;0.27434;0.14386;0.072368;0.067572;0.0060508;0;0.0097278;0.0097278;0.0097278
13;0.045552;0.0097398;0;0.46736;0.47788;0.40456;0.1872;0.055765;0.0038433;0;0.009703;0.009703;0.009703
14;0.04619;0.0097861;0;0.79974;0.56545;0.61588;0.36866;0.056968;0.0036716;0;0.0096783;0.0096783;0.0096783
15;0.044333;0.0094234;0;0.62649;0.46014;0.46415;0.17597;0.057897;0.0036008;0;0.0096535;0.0096535;0.0096535
16;0.046949;0.010158;0;0.69025;0.55219;0.59329;0.32179;0.053178;0.0041192;0;0.0096288;0.0096288;0.0096288
17;0.046022;0.0096379;0;0.32322;0.24779;0.20515;0.10632;0.063356;0.0046326;0;0.009604;0.009604;0.009604
18;0.042231;0.0093682;0;0.68867;0.61947;0.68017;0.41037;0.057474;0.0034527;0;0.0095793;0.0095793;0.0095793
19;0.042088;0.0091337;0;0.37889;0.26549;0.26059;0.1355;0.055908;0.0045929;0;0.0095545;0.0095545;0.0095545
20;0.0403;0.0090091;0;0.689;0.6274;0.66303;0.41823;0.052266;0.0034488;0;0.0095298;0.0095298;0.0095298
21;0.040661;0.0087482;0;0.48804;0.30973;0.32995;0.1809;0.05323;0.0045077;0;0.009505;0.009505;0.009505
22;0.042418;0.0088514;0;0.71048;0.60807;0.69241;0.43084;0.053873;0.0037005;0;0.0094803;0.0094803;0.0094803
23;0.04156;0.0088014;0;0.66552;0.5811;0.59671;0.34084;0.044872;0.0035497;0;0.0094555;0.0094555;0.0094555
24;0.041315;0.0090732;0;0.34349;0.38053;0.30678;0.15164;0.06833;0.0045403;0;0.0094307;0.0094307;0.0094307
25;0.042028;0.0086367;0;0.7031;0.6916;0.70571;0.462;0.053289;0.003328;0;0.009406;0.009406;0.009406
26;0.039246;0.008556;0;0.68685;0.52212;0.62173;0.36009;0.049302;0.0035218;0;0.0093813;0.0093813;0.0093813
27;0.042145;0.0086851;0;0.62169;0.15044;0.24954;0.13851;0.059087;0.00675;0;0.0093565;0.0093565;0.0093565
28;0.040429;0.0087271;0;0.76375;0.65802;0.68032;0.39781;0.051107;0.0034158;0;0.0093317;0.0093317;0.0093317
29;0.039583;0.0083178;0;0.69572;0.62832;0.63935;0.41211;0.045892;0.0033798;0;0.009307;0.009307;0.009307
30;0.038467;0.0084378;0;0.41249;0.37168;0.32262;0.16271;0.065632;0.0053024;0;0.0092823;0.0092823;0.0092823
31;0.040629;0.0083486;0;0.75533;0.68302;0.75491;0.46386;0.057098;0.0032299;0;0.0092575;0.0092575;0.0092575
32;0.040441;0.0085187;0;0.50274;0.60177;0.53987;0.33063;0.059952;0.0042444;0;0.0092327;0.0092327;0.0092327
33;0.039296;0.0084867;0;0.82506;0.70952;0.79142;0.51855;0.045649;0.0029296;0;0.009208;0.009208;0.009208
34;0.039901;0.008338;0;0.64486;0.49815;0.55492;0.33909;0.044498;0.0040907;0;0.0091833;0.0091833;0.0091833
35;0.039307;0.0083484;0;0.84629;0.68211;0.77722;0.46381;0.048861;0.0033348;0;0.0091585;0.0091585;0.0091585
36;0.038016;0.0080759;0;0.77025;0.65272;0.7186;0.45278;0.042779;0.003311;0;0.0091337;0.0091337;0.0091337
37;0.038188;0.0077981;0;0.67906;0.61947;0.64605;0.42288;0.045329;0.003281;0;0.009109;0.009109;0.009109
38;0.038315;0.0081423;0;0.88798;0.39823;0.54336;0.2992;0.059934;0.004771;0;0.0090843;0.0090843;0.0090843
39;0.037139;0.0083216;0;0.76643;0.52271;0.65181;0.39281;0.049991;0.0038172;0;0.0090595;0.0090595;0.0090595
40;0.039863;0.0082068;0;0.84923;0.65487;0.73067;0.4506;0.043992;0.0031902;0;0.0090347;0.0090347;0.0090347
41;0.036754;0.0081994;0;0.58331;0.58225;0.52884;0.26468;0.047614;0.0040546;0;0.00901;0.00901;0.00901
42;0.036479;0.0079575;0;0.82738;0.72109;0.76892;0.519;0.047591;0.0027964;0;0.0089853;0.0089853;0.0089853
43;0.036069;0.00763;0;0.86567;0.74142;0.8147;0.55935;0.04238;0.0027113;0;0.0089605;0.0089605;0.0089605
