;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0,5;metrics/mAP_0,5:0,95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0,095187;0,019621;0;0,0016006;0,9646;0,032896;0,011465;0,080219;0,006422;0;0,070714;0,003254;0,003254
1;0,064676;0,013122;0;0,003665;0,34513;0,0096225;0,0019825;0,079557;0,0034891;0;0,040649;0,0065221;0,0065221
2;0,05974;0,012385;0;0,086283;0,061947;0,02133;0,0048669;0,08761;0,0031019;0;0,010518;0,0097242;0,0097242
3;0,0603;0,011528;0;0,095575;0,19469;0,057727;0,015393;0,083213;0,011473;0;0,009703;0,009703;0,009703
4;0,059774;0,011603;0;0,014556;0,17699;0,0050357;0,0016687;0,099658;0,013663;0;0,009703;0,009703;0,009703
5;0,059351;0,011665;0;0,012115;0,097345;0,028562;0,010105;0,086047;0,0050006;0;0,009604;0,009604;0,009604
6;0,054;0,011238;0;0,2677;0,20381;0,13802;0,050355;0,075252;0,0044622;0;0,009505;0,009505;0,009505
7;0,056196;0,011112;0;0,19458;0,035398;0,060942;0,02373;0,067631;0,0050544;0;0,009406;0,009406;0,009406
8;0,053124;0,01135;0;0,3294;0,37168;0,24067;0,091704;0,076038;0,0040778;0;0,009307;0,009307;0,009307
9;0,054177;0,010585;0;0,37786;0,15929;0,2209;0,10579;0,062066;0,0046042;0;0,009208;0,009208;0,009208
10;0,048918;0,010635;0;0,29021;0,20354;0,13009;0,05829;0,066689;0,0052562;0;0,009109;0,009109;0,009109
11;0,048029;0,010373;0;0,35862;0,25238;0,20771;0,11814;0,060097;0,0046583;0;0,00901;0,00901;0,00901
12;0,049517;0,010481;0;0,051892;0,42478;0,15939;0,062911;0,059984;0,0058239;0;0,008911;0,008911;0,008911
13;0,045919;0,0097308;0;0,59143;0,46018;0,46496;0,22698;0,062185;0,0043135;0;0,008812;0,008812;0,008812
14;0,045896;0,009728;0;0,66633;0,42478;0,52631;0,25516;0,05806;0,0042188;0;0,008713;0,008713;0,008713
15;0,044585;0,009235;0;0,46554;0,26549;0,30276;0,17942;0,062978;0,0045196;0;0,008614;0,008614;0,008614
16;0,045361;0,0098693;0;0,57797;0,47788;0,48577;0,21733;0,054139;0,0042052;0;0,008515;0,008515;0,008515
17;0,044905;0,0096404;0;0,6941;0,46186;0,55007;0,31374;0,06064;0,0037875;0;0,008416;0,008416;0,008416
18;0,042394;0,0094521;0;0,69586;0,55752;0,65153;0,33469;0,056839;0,0036199;0;0,008317;0,008317;0,008317
19;0,041742;0,0090525;0;0,75844;0,2779;0,38667;0,19724;0,052151;0,0057526;0;0,008218;0,008218;0,008218
20;0,039556;0,0092458;0;0,67109;0,53982;0,63629;0,35988;0,052581;0,0033972;0;0,008119;0,008119;0,008119
