               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094281,            0.015789,            0.051795,          7.9937e-05,            0.027513,          4.4632e-05,           1.028e-05,            0.098863,           0.0085933,             0.05986,             0.07005,           0.0033278,           0.0033278
                   1,            0.091359,             0.01323,             0.04295,          0.00019884,            0.078068,          0.00020721,          5.2193e-05,            0.086968,           0.0073532,            0.040753,            0.039984,           0.0065952,           0.0065952
                   2,            0.088571,            0.013101,            0.039004,           0.0003564,             0.11043,          0.00056151,          0.00011403,             0.09035,           0.0076714,            0.039554,           0.0098519,           0.0097966,           0.0097966
                   3,            0.086559,            0.012899,             0.03756,          0.00039804,             0.14221,          0.00070627,           0.0001454,             0.08531,           0.0073055,            0.036603,            0.009703,            0.009703,            0.009703
                   4,            0.084381,            0.012839,             0.03691,          0.00042339,             0.14831,           0.0013042,          0.00029453,             0.08373,           0.0082497,            0.034393,            0.009703,            0.009703,            0.009703
                   5,            0.082772,             0.01259,            0.036066,          0.00070402,             0.22537,           0.0027247,          0.00065142,            0.079995,            0.007632,             0.03458,            0.009604,            0.009604,            0.009604
                   6,            0.080651,            0.012712,            0.035611,             0.33797,             0.10097,           0.0059738,           0.0012817,            0.079637,            0.007453,            0.033047,            0.009505,            0.009505,            0.009505
                   7,            0.079089,            0.012529,            0.034412,             0.45211,            0.011438,            0.008608,           0.0019975,             0.07666,           0.0076015,            0.032496,            0.009406,            0.009406,            0.009406
                   8,            0.077725,            0.012579,            0.033436,             0.45829,            0.021528,            0.012702,           0.0028182,            0.075106,           0.0076386,            0.029737,            0.009307,            0.009307,            0.009307
                   9,            0.077175,            0.012629,            0.031855,             0.56476,            0.020016,            0.017279,           0.0048311,            0.074128,           0.0076548,            0.029467,            0.009208,            0.009208,            0.009208
                  10,            0.076207,            0.012749,            0.031556,             0.46049,            0.020095,            0.013377,            0.003864,             0.07287,           0.0077381,            0.028385,            0.009109,            0.009109,            0.009109
                  11,             0.07475,             0.01264,            0.030311,             0.48435,            0.047323,             0.02229,           0.0068386,            0.072781,           0.0074556,            0.027398,             0.00901,             0.00901,             0.00901
                  12,            0.074262,            0.012346,            0.029648,             0.50407,            0.052948,            0.026523,           0.0071329,            0.071781,           0.0073797,            0.027412,            0.008911,            0.008911,            0.008911
                  13,            0.073461,            0.012736,            0.029719,              0.3959,            0.050606,            0.027204,            0.008315,             0.07112,           0.0075096,            0.026515,            0.008812,            0.008812,            0.008812
                  14,            0.073182,            0.012343,            0.028726,             0.38744,            0.046704,            0.028827,           0.0089691,            0.071265,           0.0073775,            0.025696,            0.008713,            0.008713,            0.008713
                  15,            0.072889,            0.012327,            0.028281,             0.39494,            0.072474,            0.033123,           0.0091114,            0.069144,           0.0073534,            0.025398,            0.008614,            0.008614,            0.008614
                  16,             0.07226,            0.012428,            0.027218,             0.38578,            0.084076,            0.036378,            0.011388,            0.069049,           0.0074288,             0.02491,            0.008515,            0.008515,            0.008515
                  17,            0.071594,            0.012227,            0.026298,             0.27108,            0.054086,            0.031742,            0.010221,              0.0693,           0.0074276,            0.024285,            0.008416,            0.008416,            0.008416
                  18,            0.071292,            0.012334,            0.026171,             0.51071,            0.081672,            0.042309,            0.013787,            0.068026,           0.0073098,              0.0241,            0.008317,            0.008317,            0.008317
                  19,            0.070499,            0.012197,            0.026143,             0.50055,            0.095085,            0.041182,            0.012364,            0.067642,           0.0076065,            0.024411,            0.008218,            0.008218,            0.008218
                  20,            0.070291,            0.012226,            0.025675,             0.54764,            0.079745,             0.04472,            0.014231,            0.068029,           0.0071395,            0.023424,            0.008119,            0.008119,            0.008119
                  21,            0.070064,            0.012409,            0.025771,             0.50993,             0.09943,            0.047638,            0.015819,             0.06726,           0.0072696,             0.02373,             0.00802,             0.00802,             0.00802
                  22,            0.069584,            0.012446,             0.02503,             0.51176,            0.095203,            0.052132,            0.018075,             0.06658,           0.0071853,            0.022574,            0.007921,            0.007921,            0.007921
                  23,            0.068994,            0.012069,            0.025502,             0.50576,             0.10035,            0.045667,            0.013799,            0.067138,           0.0071649,            0.022453,            0.007822,            0.007822,            0.007822
                  24,            0.068379,            0.012002,            0.025179,             0.55198,             0.10658,            0.059595,            0.018541,            0.065896,           0.0071798,            0.022323,            0.007723,            0.007723,            0.007723
                  25,            0.068378,            0.012137,            0.024513,             0.54688,             0.12966,              0.0684,            0.024074,            0.065716,           0.0073443,            0.021804,            0.007624,            0.007624,            0.007624
                  26,              0.0685,            0.012148,            0.024036,             0.52601,             0.12041,            0.061872,            0.020094,            0.065435,           0.0075125,            0.021529,            0.007525,            0.007525,            0.007525
                  27,            0.067807,            0.012139,            0.023993,             0.53397,             0.11582,            0.062722,            0.021272,            0.065469,           0.0070909,            0.022207,            0.007426,            0.007426,            0.007426
                  28,            0.067191,            0.012316,            0.023654,             0.53581,             0.11084,            0.060855,            0.019679,            0.064524,           0.0071992,            0.021551,            0.007327,            0.007327,            0.007327
                  29,            0.067429,            0.012137,            0.023492,             0.55195,             0.10195,            0.064936,            0.022592,            0.064556,           0.0071773,            0.021262,            0.007228,            0.007228,            0.007228
                  30,            0.067008,            0.012279,            0.023456,             0.53783,             0.11288,            0.071325,            0.025422,            0.063937,           0.0072096,             0.02073,            0.007129,            0.007129,            0.007129
                  31,            0.066806,            0.011889,            0.022836,             0.64092,             0.12002,             0.07248,            0.024979,            0.063735,           0.0073035,             0.02018,             0.00703,             0.00703,             0.00703
                  32,            0.066621,            0.011875,            0.023285,             0.55332,             0.12431,            0.073484,            0.024351,            0.063691,           0.0071415,            0.020368,            0.006931,            0.006931,            0.006931
                  33,            0.066412,            0.011958,            0.022608,             0.65018,             0.11595,            0.072467,            0.026066,            0.063982,           0.0071618,            0.020306,            0.006832,            0.006832,            0.006832
                  34,            0.065778,            0.011955,            0.022175,             0.53488,             0.13031,            0.083164,            0.030768,            0.063034,           0.0070792,            0.020358,            0.006733,            0.006733,            0.006733
                  35,            0.065787,            0.011865,            0.022322,              0.5555,             0.12302,            0.076244,             0.02587,            0.062966,           0.0071073,            0.019575,            0.006634,            0.006634,            0.006634
                  36,            0.065746,            0.011859,            0.022135,             0.64606,              0.1317,            0.078542,            0.027453,            0.062672,           0.0070734,            0.019542,            0.006535,            0.006535,            0.006535
                  37,            0.064835,            0.011952,            0.021425,             0.56101,             0.13983,            0.083605,            0.030535,            0.062631,           0.0070535,            0.020305,            0.006436,            0.006436,            0.006436
