;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0,5;metrics/mAP_0,5:0,95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0,080136;0,019841;0,028945;0,33304;0,23734;0,18084;0,063477;0,063285;0,010594;0,017466;0,070018;0,0033313;0,0033313
1;0,065004;0,017395;0,018049;0,28466;0,24472;0,18167;0,064668;0,064287;0,010919;0,017779;0,039886;0,0065327;0,0065327
2;0,06442;0,017503;0,01757;0,33676;0,27849;0,22299;0,081243;0,061216;0,010446;0,015277;0,0096222;0,0096021;0,0096021
3;0,063787;0,017435;0,017534;0,4044;0,322;0,28369;0,10692;0,058691;0,010062;0,013892;0,009406;0,009406;0,009406
4;0,061081;0,01732;0,015966;0,41528;0,34764;0,31178;0,11977;0,057336;0,010131;0,013144;0,009406;0,009406;0,009406
5;0,059886;0,016819;0,015397;0,43741;0,39451;0,3589;0,14277;0,055446;0,0098323;0,012167;0,009208;0,009208;0,009208
6;0,05884;0,016697;0,014445;0,47013;0,38478;0,36719;0,14664;0,05495;0,0097535;0,011915;0,00901;0,00901;0,00901
7;0,058239;0,01646;0,014237;0,46032;0,39032;0,36701;0,14458;0,054469;0,0097365;0,011755;0,008812;0,008812;0,008812
8;0,05769;0,016464;0,013952;0,44405;0,41167;0,37493;0,15177;0,053418;0,0097382;0,011305;0,008614;0,008614;0,008614
9;0,056657;0,016435;0,013328;0,47913;0,41053;0,39915;0,16693;0,052667;0,0095218;0,01094;0,008416;0,008416;0,008416
10;0,056499;0,016443;0,013273;0,47881;0,41624;0,40467;0,16787;0,052264;0,0095121;0,01078;0,008218;0,008218;0,008218
11;0,055941;0,016176;0,012933;0,49964;0,42746;0,42377;0,17692;0,051817;0,0094789;0,01051;0,00802;0,00802;0,00802
12;0,055637;0,016325;0,012672;0,50409;0,43782;0,43917;0,18432;0,051159;0,0094411;0,010319;0,007822;0,007822;0,007822
13;0,055381;0,016232;0,012474;0,52801;0,45333;0,45267;0,19059;0,051023;0,009356;0,010253;0,007624;0,007624;0,007624
14;0,054936;0,016058;0,012191;0,52318;0,45912;0,46352;0,19942;0,050462;0,009291;0,0097582;0,007426;0,007426;0,007426
15;0,054783;0,015893;0,012256;0,52639;0,4558;0,45791;0,19867;0,050323;0,0092792;0,009706;0,007228;0,007228;0,007228
16;0,054288;0,016117;0,011698;0,54113;0,45932;0,4663;0,2036;0,0499;0,0091749;0,0095181;0,00703;0,00703;0,00703
17;0,053732;0,015874;0,011478;0,54365;0,46884;0,4778;0,20932;0,049649;0,0091513;0,0093626;0,006832;0,006832;0,006832
18;0,053642;0,015813;0,011374;0,55061;0,47286;0,48229;0,21196;0,04952;0,0091501;0,0094025;0,006634;0,006634;0,006634
19;0,053319;0,015754;0,011305;0,55196;0,48155;0,48887;0,21412;0,049323;0,0091411;0,0093642;0,006436;0,006436;0,006436
20;0,053226;0,015807;0,011159;0,55567;0,48694;0,49251;0,21924;0,048987;0,0090739;0,0093226;0,006238;0,006238;0,006238
21;0,053036;0,015738;0,010983;0,56049;0,47974;0,49566;0,21965;0,048718;0,0090567;0,0091359;0,00604;0,00604;0,00604
22;0,052566;0,015712;0,010768;0,55261;0,49438;0,50474;0,22457;0,048501;0,009036;0,0091491;0,005842;0,005842;0,005842
23;0,052406;0,015531;0,0105;0,56708;0,49083;0,50949;0,22683;0,048372;0,0090401;0,0090739;0,005644;0,005644;0,005644
24;0,052205;0,015648;0,01053;0,5586;0,49866;0,51174;0,2287;0,048206;0,009013;0,009019;0,005446;0,005446;0,005446
25;0,052012;0,015701;0,010531;0,5538;0,50413;0,51474;0,23164;0,048042;0,0089808;0,008891;0,005248;0,005248;0,005248
26;0,051754;0,015466;0,010391;0,55743;0,50608;0,51566;0,23253;0,047861;0,0089669;0,0089178;0,00505;0,00505;0,00505
27;0,051601;0,015513;0,010251;0,56991;0,50668;0,52035;0,23598;0,047807;0,0089543;0,0089108;0,004852;0,004852;0,004852
28;0,051352;0,015434;0,009936;0,57108;0,50937;0,52458;0,23774;0,04771;0,0089453;0,0089017;0,004654;0,004654;0,004654
29;0,050915;0,015395;0,0097417;0,57173;0,51026;0,5278;0,23992;0,047614;0,0089247;0,0088982;0,004456;0,004456;0,004456
30;0,050627;0,015558;0,0095281;0,57957;0,51414;0,53403;0,24302;0,047492;0,0089036;0,0088708;0,004258;0,004258;0,004258
31;0,050527;0,015377;0,0093155;0,57741;0,51608;0,53374;0,24423;0,047402;0,0088981;0,0088662;0,00406;0,00406;0,00406
32;0,050233;0,015372;0,009338;0,58268;0,51667;0,53554;0,24465;0,047331;0,0088848;0,0088695;0,003862;0,003862;0,003862
33;0,049801;0,015081;0,0091324;0,58879;0,51662;0,53816;0,24562;0,047261;0,0088731;0,0088422;0,003664;0,003664;0,003664
34;0,049814;0,015201;0,0090458;0,59238;0,51399;0,53878;0,24647;0,047216;0,0088642;0,0088076;0,003466;0,003466;0,003466
35;0,049776;0,015141;0,0088927;0,59476;0,51584;0,54001;0,24716;0,047174;0,008857;0,0087734;0,003268;0,003268;0,003268
36;0,049185;0,015045;0,0086658;0,6009;0,5125;0,54111;0,24808;0,047121;0,0088503;0,0087643;0,00307;0,00307;0,00307
37;0,049038;0,015092;0,00863;0,59466;0,5153;0,54024;0,2487;0,047074;0,0088446;0,0087583;0,002872;0,002872;0,002872
38;0,048558;0,01495;0,008248;0,59771;0,51581;0,5406;0,24982;0,047031;0,0088361;0,008744;0,002674;0,002674;0,002674
39;0,048364;0,014992;0,0082039;0,59963;0,51418;0,542;0,25025;0,046995;0,0088307;0,0087401;0,002476;0,002476;0,002476
40;0,048166;0,014994;0,0080519;0,60398;0,51404;0,54379;0,25119;0,04696;0,0088235;0,0087518;0,002278;0,002278;0,002278
41;0,047727;0,014855;0,0078807;0,60299;0,51412;0,54383;0,25193;0,046927;0,0088169;0,0087618;0,00208;0,00208;0,00208
