;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0,5;metrics/mAP_0,5:0,95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
0;0,081028;0,020162;0,035047;0,39034;0,2367;0,18722;0,067406;0,064457;0,010858;0,026802;0,070066;0,003326;0,003326
1;0,064955;0,01738;0,02663;0,29243;0,20121;0,14041;0,047441;0,068085;0,011443;0,027428;0,039934;0,0065275;0,0065275
2;0,063513;0,017177;0,026011;0,25586;0,21548;0,14119;0,048274;0,066446;0,011183;0,028151;0,0096699;0,009597;0,009597
3;0,062498;0,01712;0,025693;0,32265;0,26756;0,20441;0,074103;0,06225;0,010268;0,025453;0,009406;0,009406;0,009406
4;0,06018;0,016971;0,024739;0,40178;0,31123;0,26465;0,10258;0,058979;0,010838;0,024279;0,009406;0,009406;0,009406
5;0,059148;0,016635;0,02456;0,44372;0,35658;0,32055;0,12372;0,05665;0,010168;0,023295;0,009208;0,009208;0,009208
6;0,057938;0,01639;0,023821;0,44155;0,35565;0,33037;0,13279;0,056387;0,0099713;0,023049;0,00901;0,00901;0,00901
7;0,057295;0,016236;0,023612;0,44948;0,38909;0,3593;0,14197;0,05509;0,0098149;0,022287;0,008812;0,008812;0,008812
8;0,056827;0,016247;0,023472;0,46608;0,39929;0,375;0,15161;0,054138;0,009548;0,02194;0,008614;0,008614;0,008614
9;0,055965;0,016265;0,023055;0,49127;0,38518;0,38359;0,15692;0,053437;0,0096573;0,022258;0,008416;0,008416;0,008416
10;0,055632;0,016248;0,023064;0,49112;0,39674;0,39015;0,16301;0,053102;0,0097113;0,021855;0,008218;0,008218;0,008218
11;0,055048;0,01597;0,022785;0,52583;0,43772;0,4282;0,1807;0,051935;0,0095074;0,021496;0,00802;0,00802;0,00802
12;0,054868;0,016134;0,022687;0,49101;0,44419;0,43146;0,18292;0,051349;0,0094617;0,021461;0,007822;0,007822;0,007822
13;0,054553;0,015916;0,022474;0,51201;0,44965;0,44019;0,18833;0,05117;0,0093035;0,021393;0,007624;0,007624;0,007624
14;0,053864;0,01573;0,022335;0,52682;0,45212;0,45218;0,19566;0,050638;0,0092463;0,02112;0,007426;0,007426;0,007426
15;0,053852;0,015687;0,022338;0,52272;0,46719;0,45717;0,19841;0,050258;0,0091959;0,021114;0,007228;0,007228;0,007228
16;0,053605;0,015852;0,022058;0,53469;0,4779;0,47632;0,20979;0,049729;0,0091123;0,02093;0,00703;0,00703;0,00703
17;0,053175;0,015609;0,022004;0,54497;0,48032;0,48077;0,21052;0,049619;0,0091088;0,020882;0,006832;0,006832;0,006832
18;0,052823;0,015637;0,021762;0,56584;0,48792;0,49497;0,21726;0,049333;0,009055;0,020854;0,006634;0,006634;0,006634
19;0,052515;0,015505;0,021855;0,55282;0,49353;0,49412;0,21955;0,049096;0,0090411;0,02094;0,006436;0,006436;0,006436
20;0,052425;0,015568;0,021754;0,56028;0,49144;0,49792;0,22197;0,048847;0,0090388;0,020929;0,006238;0,006238;0,006238
21;0,052215;0,015495;0,021602;0,56567;0,48943;0,49978;0,22449;0,0486;0,0089929;0,020745;0,00604;0,00604;0,00604
22;0,051834;0,015468;0,021522;0,57425;0,49857;0,50864;0,22995;0,048405;0,0089687;0,020645;0,005842;0,005842;0,005842
23;0,051691;0,01527;0,021348;0,5855;0,49853;0,51594;0,23275;0,048217;0,0089346;0,020653;0,005644;0,005644;0,005644
24;0,051318;0,015443;0,021362;0,57651;0,50695;0,52051;0,23634;0,048053;0,0089017;0,020652;0,005446;0,005446;0,005446
25;0,051105;0,015395;0,021321;0,57375;0,50669;0,52097;0,23712;0,047827;0,0088833;0,020608;0,005248;0,005248;0,005248
26;0,05071;0,015137;0,021185;0,57708;0,51368;0,52704;0,24182;0,04762;0,0088639;0,020531;0,00505;0,00505;0,00505
27;0,050931;0,015259;0,021214;0,58653;0,51312;0,53081;0,24461;0,047495;0,0088461;0,020505;0,004852;0,004852;0,004852
28;0,050414;0,015166;0,020883;0,58573;0,51779;0,53306;0,24672;0,04742;0,0088289;0,020525;0,004654;0,004654;0,004654
29;0,050166;0,015047;0,020946;0,58302;0,51803;0,53615;0,2482;0,047303;0,0088139;0,02051;0,004456;0,004456;0,004456
30;0,049721;0,015254;0,020799;0,58599;0,52437;0,53859;0,24892;0,047181;0,0088103;0,020477;0,004258;0,004258;0,004258
31;0,049664;0,015041;0,020603;0,59225;0,5257;0,53978;0,25038;0,047163;0,0087904;0,020477;0,00406;0,00406;0,00406
32;0,049359;0,015099;0,020579;0,58303;0,5373;0,54287;0,25108;0,047114;0,0087743;0,020453;0,003862;0,003862;0,003862
33;0,048882;0,014775;0,020406;0,58742;0,53439;0,54445;0,25185;0,047058;0,0087685;0,020447;0,003664;0,003664;0,003664
34;0,04892;0,014901;0,020379;0,59283;0,5278;0,54572;0,25256;0,047005;0,0087629;0,020436;0,003466;0,003466;0,003466
35;0,04881;0,014841;0,020386;0,59194;0,53036;0,54587;0,25318;0,046969;0,0087584;0,020425;0,003268;0,003268;0,003268
36;0,048212;0,014661;0,02025;0,59588;0,52722;0,54662;0,25347;0,046956;0,0087529;0,020429;0,00307;0,00307;0,00307
37;0,047957;0,01473;0,020152;0,59706;0,52834;0,54715;0,25416;0,046925;0,0087466;0,020437;0,002872;0,002872;0,002872
38;0,047451;0,01462;0,02001;0,59386;0,53474;0,549;0,25503;0,046888;0,008741;0,020439;0,002674;0,002674;0,002674
39;0,047336;0,014639;0,019892;0,59337;0,53604;0,55049;0,256;0,04686;0,0087363;0,020431;0,002476;0,002476;0,002476
40;0,047147;0,014607;0,0198;0,59454;0,53415;0,55045;0,25666;0,04684;0,0087327;0,020425;0,002278;0,002278;0,002278
41;0,046569;0,014467;0,019634;0,59788;0,5319;0,55105;0,2572;0,04682;0,0087286;0,020424;0,00208;0,00208;0,00208
42;0,046329;0,014514;0,019536;0,59524;0,53563;0,55265;0,25779;0,046799;0,0087252;0,020425;0,001882;0,001882;0,001882
43;0,046062;0,014487;0,019466;0,59581;0,5345;0,55318;0,25833;0,046784;0,0087212;0,020425;0,001684;0,001684;0,001684
44;0,045779;0,014302;0,019354;0,59499;0,53499;0,55319;0,25868;0,046774;0,0087183;0,020424;0,001486;0,001486;0,001486
