               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072682,            0.019345,            0.032316,             0.35967,             0.28878,             0.23602,            0.088939,            0.059632,            0.010173,            0.024614,            0.070018,           0.0033313,           0.0033313
                   1,            0.059638,            0.016616,            0.025011,             0.39919,             0.33704,             0.30017,             0.11521,            0.057696,            0.010036,             0.02387,            0.040002,           0.0066482,           0.0066482
                   2,            0.060625,            0.016805,            0.025412,             0.38899,             0.30629,              0.2582,            0.097747,            0.059794,            0.010385,            0.024263,           0.0099686,           0.0099485,           0.0099485
                   3,            0.061148,            0.017188,            0.025519,             0.43229,             0.34231,             0.31995,             0.12474,            0.056723,            0.010053,             0.02325,           0.0099258,           0.0099258,           0.0099258
                   4,            0.058553,            0.016802,            0.024519,             0.43432,             0.39683,             0.35594,             0.14374,            0.054474,            0.009753,            0.022522,           0.0099258,           0.0099258,           0.0099258
                   5,            0.056488,            0.016486,            0.023661,             0.46933,             0.42046,             0.39009,             0.16097,            0.052968,           0.0096441,            0.022184,            0.009901,            0.009901,            0.009901
                   6,            0.055647,            0.016274,            0.023331,             0.48006,             0.42349,             0.40323,             0.16792,            0.052296,           0.0095798,            0.022062,           0.0098763,           0.0098763,           0.0098763
                   7,            0.054783,            0.016335,             0.02315,             0.49504,             0.45035,             0.43253,             0.18724,            0.051224,           0.0095065,            0.021688,           0.0098515,           0.0098515,           0.0098515
                   8,            0.054097,            0.016083,            0.022856,             0.53168,             0.46121,             0.46075,             0.19862,            0.050666,           0.0092854,            0.021431,           0.0098268,           0.0098268,           0.0098268
                   9,            0.053499,            0.015865,            0.022553,             0.53016,             0.45789,             0.45391,             0.20011,            0.050247,           0.0092655,            0.021477,            0.009802,            0.009802,            0.009802
                  10,            0.052842,              0.0158,            0.022499,             0.53514,             0.46901,             0.47004,             0.20234,            0.049974,           0.0092487,             0.02119,           0.0097773,           0.0097773,           0.0097773
                  11,            0.052891,            0.015906,            0.022407,              0.5449,             0.47999,             0.48198,             0.21441,             0.04937,           0.0091492,            0.021075,           0.0097525,           0.0097525,           0.0097525
                  12,            0.052408,            0.015645,             0.02224,             0.55801,             0.48985,              0.4966,             0.22426,            0.048549,           0.0091113,            0.020933,           0.0097278,           0.0097278,           0.0097278
                  13,            0.051902,            0.015449,            0.022082,             0.57518,              0.4918,             0.50728,             0.22738,            0.048266,           0.0090859,            0.020905,            0.009703,            0.009703,            0.009703
                  14,            0.051662,            0.015315,            0.022106,             0.55839,              0.5005,             0.50342,             0.22718,            0.047936,           0.0090843,            0.020886,           0.0096783,           0.0096783,           0.0096783
                  15,             0.05153,            0.015549,            0.022038,             0.56455,              0.5118,             0.51727,             0.23357,            0.047634,           0.0089813,            0.020736,           0.0096535,           0.0096535,           0.0096535
                  16,            0.051375,            0.015462,            0.021941,             0.57828,             0.50311,             0.52531,             0.24224,            0.047504,           0.0089343,            0.020636,           0.0096288,           0.0096288,           0.0096288
                  17,            0.050944,            0.015419,            0.021709,              0.5751,             0.51397,              0.5247,              0.2426,            0.046946,           0.0089252,            0.020511,            0.009604,            0.009604,            0.009604
                  18,            0.050746,              0.0155,             0.02164,             0.59087,             0.51044,             0.53512,             0.24771,            0.046916,           0.0088775,            0.020551,           0.0095793,           0.0095793,           0.0095793
                  19,            0.050661,            0.015335,            0.021605,             0.59193,             0.51135,              0.5428,             0.25305,            0.046547,           0.0088184,            0.020404,           0.0095545,           0.0095545,           0.0095545
                  20,            0.050293,            0.015307,             0.02158,             0.59825,             0.52064,             0.54716,             0.25494,            0.046519,           0.0088071,            0.020374,           0.0095298,           0.0095298,           0.0095298
                  21,                0.05,            0.015421,            0.021353,             0.61057,             0.52344,             0.55044,             0.25768,            0.046388,            0.008781,            0.020299,            0.009505,            0.009505,            0.009505
                  22,            0.049851,            0.015442,            0.021233,             0.60255,             0.52815,             0.55391,             0.26116,            0.046148,           0.0087577,            0.020245,           0.0094803,           0.0094803,           0.0094803
                  23,             0.04949,            0.015347,            0.021183,              0.6082,             0.52945,             0.55822,             0.26458,            0.045927,           0.0087385,            0.020293,           0.0094555,           0.0094555,           0.0094555
                  24,             0.04974,            0.015022,            0.021225,             0.60465,             0.53158,             0.56224,             0.26758,             0.04565,           0.0087413,            0.020267,           0.0094307,           0.0094307,           0.0094307
                  25,            0.049447,            0.015038,            0.021336,             0.60396,             0.53501,             0.56261,             0.26761,            0.045608,           0.0087359,             0.02023,            0.009406,            0.009406,            0.009406
                  26,             0.04941,            0.015085,            0.021112,             0.60594,             0.53925,             0.56755,             0.27002,            0.045562,           0.0087013,            0.020135,           0.0093813,           0.0093813,           0.0093813
                  27,             0.04917,            0.015159,            0.021076,             0.60581,             0.55115,             0.57124,             0.27227,            0.045357,           0.0086963,            0.020058,           0.0093565,           0.0093565,           0.0093565
                  28,             0.04944,            0.015079,            0.021021,             0.60515,             0.55269,             0.57309,             0.27402,            0.045265,           0.0086839,            0.020051,           0.0093317,           0.0093317,           0.0093317
                  29,            0.049194,            0.015046,            0.020979,              0.6101,             0.55446,             0.57548,             0.27545,             0.04514,           0.0086728,            0.020059,            0.009307,            0.009307,            0.009307
                  30,            0.048972,            0.015032,            0.020848,             0.60457,             0.56034,             0.57744,              0.2774,            0.045061,            0.008671,            0.020064,           0.0092823,           0.0092823,           0.0092823
                  31,            0.048883,            0.014918,            0.020878,             0.60663,             0.55516,             0.57523,             0.27628,               0.045,           0.0086697,            0.020073,           0.0092575,           0.0092575,           0.0092575
                  32,            0.048719,            0.014879,            0.020877,             0.61409,             0.54684,             0.57622,             0.27753,            0.044915,           0.0086615,             0.02003,           0.0092327,           0.0092327,           0.0092327
                  33,            0.048714,            0.014924,            0.020848,             0.61088,             0.55027,             0.57588,             0.27833,             0.04484,           0.0086562,            0.020021,            0.009208,            0.009208,            0.009208
                  34,            0.048766,            0.014829,            0.020907,             0.60882,             0.55513,             0.57756,             0.27928,            0.044805,           0.0086549,            0.020043,           0.0091833,           0.0091833,           0.0091833
                  35,            0.048318,            0.014978,            0.020716,             0.61343,             0.55719,             0.57837,             0.27931,            0.044782,           0.0086574,            0.020058,           0.0091585,           0.0091585,           0.0091585
