               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096895,             0.01965,            0.040636,          0.00046129,             0.12614,          0.00035789,          9.5688e-05,            0.093675,            0.010529,            0.039849,            0.070036,           0.0033293,           0.0033293
                   1,            0.090932,            0.019204,             0.03858,           0.0016162,             0.31488,           0.0050907,           0.0012864,             0.08652,            0.011189,            0.036325,            0.040014,           0.0066407,           0.0066407
                   2,            0.081257,            0.019375,             0.03345,            0.097845,            0.099155,            0.039964,            0.010824,            0.078891,            0.012856,            0.031534,           0.0099702,             0.00993,             0.00993
                   3,            0.074061,            0.018863,            0.029556,             0.20302,             0.15335,            0.096174,            0.028418,            0.071737,             0.01089,            0.026682,            0.009901,            0.009901,            0.009901
                   4,            0.069877,            0.018475,            0.027964,             0.22602,              0.2133,             0.14642,            0.047427,            0.065929,            0.010816,            0.025402,            0.009901,            0.009901,            0.009901
                   5,            0.067104,            0.018133,             0.02677,             0.27357,             0.23034,             0.16628,            0.056869,             0.06396,            0.010756,             0.02523,            0.009868,            0.009868,            0.009868
                   6,            0.065863,            0.018012,            0.026412,             0.28022,              0.2648,             0.19054,             0.06597,            0.061512,            0.010469,            0.024328,            0.009835,            0.009835,            0.009835
                   7,            0.064512,             0.01786,            0.026039,             0.32782,             0.28176,             0.22393,            0.079863,            0.060115,            0.010427,            0.023755,            0.009802,            0.009802,            0.009802
                   8,            0.063216,            0.017629,            0.025524,             0.35604,             0.30972,              0.2587,            0.095051,            0.059203,            0.010336,            0.023348,            0.009769,            0.009769,            0.009769
                   9,            0.062446,            0.017521,            0.025144,             0.34307,             0.31855,             0.26033,            0.096427,            0.058588,            0.010229,            0.023186,            0.009736,            0.009736,            0.009736
                  10,            0.061799,            0.017391,            0.025103,             0.37818,             0.34432,             0.28922,             0.10958,            0.057544,             0.01016,            0.022844,            0.009703,            0.009703,            0.009703
                  11,            0.061382,            0.017505,            0.024718,             0.40315,             0.34932,             0.31083,             0.11889,            0.056658,           0.0099987,            0.022711,             0.00967,             0.00967,             0.00967
                  12,            0.060983,            0.017131,            0.024554,              0.4072,             0.35695,             0.32255,             0.12543,            0.056225,           0.0099991,            0.022499,            0.009637,            0.009637,            0.009637
                  13,            0.060373,            0.017034,            0.024484,             0.41031,             0.37521,             0.32983,             0.12975,            0.055627,           0.0099534,            0.022306,            0.009604,            0.009604,            0.009604
                  14,            0.059843,             0.01683,            0.024321,             0.44589,             0.37745,             0.34824,             0.13791,            0.054885,           0.0098625,            0.022087,            0.009571,            0.009571,            0.009571
                  15,            0.059522,            0.017011,            0.024297,             0.42887,             0.38992,             0.35423,             0.14223,            0.054571,            0.009797,            0.022074,            0.009538,            0.009538,            0.009538
                  16,            0.059213,            0.016882,            0.024114,             0.44237,             0.39543,             0.36103,             0.14704,            0.054018,           0.0097616,            0.021968,            0.009505,            0.009505,            0.009505
                  17,            0.058977,            0.016901,            0.023921,             0.45932,               0.408,             0.38026,             0.15229,            0.053612,           0.0097338,            0.021736,            0.009472,            0.009472,            0.009472
                  18,            0.058486,            0.016875,            0.023834,             0.46564,             0.40771,             0.38836,              0.1595,            0.053273,           0.0096753,            0.021646,            0.009439,            0.009439,            0.009439
                  19,            0.058175,            0.016697,            0.023615,             0.46947,             0.41674,             0.39146,             0.16266,            0.052864,           0.0096326,            0.021588,            0.009406,            0.009406,            0.009406
                  20,            0.057918,              0.0168,            0.023669,              0.4734,             0.41917,             0.39544,             0.16515,            0.052703,             0.00961,            0.021641,            0.009373,            0.009373,            0.009373
                  21,            0.057522,            0.016752,            0.023554,             0.49514,             0.41679,               0.406,             0.16894,            0.052546,           0.0095801,            0.021481,             0.00934,             0.00934,             0.00934
                  22,            0.057391,            0.016884,             0.02325,             0.48128,             0.42617,             0.40974,             0.17187,             0.05216,            0.009565,            0.021358,            0.009307,            0.009307,            0.009307
                  23,            0.056877,            0.016725,            0.023334,             0.48556,             0.43239,             0.41506,             0.17777,            0.051907,           0.0095262,            0.021284,            0.009274,            0.009274,            0.009274
                  24,            0.057224,            0.016429,            0.023422,             0.49523,             0.43565,             0.42259,             0.18091,            0.051626,           0.0094979,            0.021302,            0.009241,            0.009241,            0.009241
                  25,            0.056808,            0.016407,            0.023199,             0.50395,             0.43536,             0.42624,             0.18172,            0.051442,           0.0094967,            0.021264,            0.009208,            0.009208,            0.009208
                  26,            0.056663,            0.016495,            0.023086,             0.49884,             0.44115,             0.43304,             0.18541,            0.051243,           0.0094768,            0.021184,            0.009175,            0.009175,            0.009175
                  27,             0.05641,            0.016495,            0.023125,             0.50951,             0.44429,             0.43835,             0.18815,            0.051049,           0.0094637,            0.021161,            0.009142,            0.009142,            0.009142
                  28,            0.056462,            0.016478,            0.023007,             0.51447,             0.44845,              0.4416,             0.19045,            0.050884,           0.0094436,            0.021117,            0.009109,            0.009109,            0.009109
                  29,            0.056421,            0.016401,            0.023027,             0.51148,             0.44953,             0.44337,             0.19192,            0.050795,           0.0094279,            0.021086,            0.009076,            0.009076,            0.009076
                  30,            0.056132,            0.016374,            0.022888,             0.51941,              0.4503,             0.44789,             0.19374,            0.050646,           0.0094238,            0.021073,            0.009043,            0.009043,            0.009043
                  31,            0.055857,            0.016328,            0.022821,             0.52733,             0.45347,             0.45107,             0.19548,            0.050527,           0.0094086,            0.021048,             0.00901,             0.00901,             0.00901
                  32,             0.05575,            0.016246,            0.022844,             0.52208,             0.45925,             0.45194,             0.19703,            0.050411,            0.009397,            0.021014,            0.008977,            0.008977,            0.008977
                  33,            0.055738,            0.016305,            0.022742,             0.52379,             0.45967,             0.45304,             0.19766,            0.050332,           0.0093929,            0.020979,            0.008944,            0.008944,            0.008944
                  34,              0.0556,            0.016091,            0.022865,             0.51992,             0.46082,             0.45598,             0.19907,            0.050232,           0.0093883,            0.020937,            0.008911,            0.008911,            0.008911
                  35,            0.055424,            0.016286,            0.022595,             0.52589,             0.45941,             0.45808,             0.20059,            0.050156,           0.0093755,            0.020914,            0.008878,            0.008878,            0.008878
                  36,            0.055431,            0.016324,             0.02253,             0.52246,             0.46482,             0.45893,             0.20162,            0.050071,           0.0093671,            0.020896,            0.008845,            0.008845,            0.008845
                  37,            0.055123,            0.016292,            0.022454,             0.52189,             0.47015,             0.46124,             0.20286,            0.049982,           0.0093576,            0.020881,            0.008812,            0.008812,            0.008812
                  38,            0.054747,            0.016226,            0.022402,             0.52153,             0.47006,             0.46355,             0.20389,            0.049912,           0.0093511,            0.020869,            0.008779,            0.008779,            0.008779
                  39,            0.055139,            0.016374,            0.022558,             0.52332,             0.47183,             0.46481,             0.20511,             0.04986,           0.0093436,            0.020857,            0.008746,            0.008746,            0.008746
                  40,             0.05474,            0.016139,             0.02234,             0.52136,             0.47302,             0.46607,             0.20585,            0.049796,           0.0093371,            0.020844,            0.008713,            0.008713,            0.008713
                  41,            0.054919,            0.016203,             0.02243,             0.52258,             0.47408,             0.46724,             0.20663,            0.049728,           0.0093289,             0.02083,             0.00868,             0.00868,             0.00868
                  42,            0.054698,            0.016022,             0.02237,              0.5249,              0.4749,             0.46846,             0.20726,            0.049675,            0.009321,            0.020819,            0.008647,            0.008647,            0.008647
                  43,            0.054369,            0.016102,            0.022255,             0.52692,             0.47317,             0.46898,             0.20785,            0.049632,           0.0093117,            0.020808,            0.008614,            0.008614,            0.008614
                  44,            0.054379,             0.01612,            0.022377,             0.53009,             0.47274,             0.47043,             0.20826,            0.049588,           0.0093062,            0.020797,            0.008581,            0.008581,            0.008581
