               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079642,            0.019843,             0.03467,             0.28879,             0.24916,             0.17389,             0.06025,              0.0653,            0.010311,            0.025983,            0.070036,           0.0033293,           0.0033293
                   1,            0.063867,            0.017075,            0.026213,             0.32733,             0.29574,             0.22341,            0.081292,            0.062373,            0.010491,            0.025079,            0.040014,           0.0066407,           0.0066407
                   2,            0.062908,            0.017145,            0.025918,             0.31979,             0.22506,             0.18269,            0.066522,            0.062845,            0.011052,            0.026711,           0.0099702,             0.00993,             0.00993
                   3,            0.062643,            0.017237,             0.02566,             0.35835,             0.28803,              0.2355,            0.086226,            0.061084,            0.010645,            0.026293,            0.009901,            0.009901,            0.009901
                   4,            0.060415,            0.016932,            0.024835,             0.40069,             0.33435,             0.30555,             0.11752,             0.05755,            0.010088,             0.02331,            0.009901,            0.009901,            0.009901
                   5,            0.058785,             0.01671,            0.024126,             0.41431,             0.32987,             0.29539,             0.11453,            0.057469,            0.010183,            0.023248,            0.009868,            0.009868,            0.009868
                   6,            0.058176,            0.016631,            0.023902,             0.41569,             0.32723,             0.30015,             0.11756,            0.057206,            0.010101,            0.023127,            0.009835,            0.009835,            0.009835
                   7,            0.057484,            0.016555,            0.023732,             0.44922,             0.39267,              0.3676,             0.14714,             0.05418,           0.0096814,             0.02234,            0.009802,            0.009802,            0.009802
                   8,            0.056608,            0.016358,             0.02338,             0.48421,             0.41903,             0.39995,              0.1636,            0.053251,           0.0096047,            0.022064,            0.009769,            0.009769,            0.009769
                   9,            0.056219,            0.016269,            0.023088,             0.49495,              0.4086,             0.39464,             0.16331,            0.053412,           0.0094881,            0.021976,            0.009736,            0.009736,            0.009736
                  10,            0.055828,            0.016186,            0.023053,             0.47599,             0.41344,             0.40018,             0.16364,            0.052975,           0.0096017,            0.021896,            0.009703,            0.009703,            0.009703
                  11,            0.055744,            0.016293,            0.022847,             0.50363,             0.43683,             0.42235,             0.17597,            0.052017,           0.0094519,             0.02159,             0.00967,             0.00967,             0.00967
                  12,            0.055367,            0.016011,            0.022866,             0.52488,             0.44053,             0.43671,             0.18397,            0.051517,           0.0093975,            0.021583,            0.009637,            0.009637,            0.009637
                  13,            0.054963,            0.015934,            0.022726,             0.52283,             0.45297,               0.443,             0.18893,            0.051347,            0.009315,            0.021522,            0.009604,            0.009604,            0.009604
                  14,            0.054757,            0.015752,            0.022622,             0.51371,              0.4568,             0.44435,             0.19045,            0.050752,           0.0093889,            0.021256,            0.009571,            0.009571,            0.009571
