                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.91246,                 1.1765,                0.33333,                      1,              0.0009901
                      1,                0.76025,                 1.1312,                0.47167,                      1,              0.0009802
                      2,                0.71528,                  2.035,                0.28833,                      1,              0.0009703
                      3,                0.70082,                   1.42,                0.43833,                      1,              0.0009604
                      4,                0.66924,                 1.0748,                  0.385,                      1,              0.0009505
                      5,                0.62859,                  1.562,                    0.3,                      1,              0.0009406
                      6,                0.60891,                0.74948,                0.78333,                      1,              0.0009307
                      7,                0.59146,                 1.4869,                0.54167,                      1,              0.0009208
                      8,                0.57528,                0.66421,                0.83667,                      1,              0.0009109
                      9,                0.57591,                 3.1762,                0.30833,                      1,               0.000901
                     10,                0.55916,                 1.6247,                  0.675,                      1,              0.0008911
                     11,                0.53778,                 1.5851,                  0.625,                      1,              0.0008812
                     12,                0.55661,                  1.141,                0.72667,                      1,              0.0008713
                     13,                  0.528,                0.91167,                   0.73,                      1,              0.0008614
                     14,                0.53313,                 1.4904,                0.79833,                      1,              0.0008515
                     15,                0.52357,                0.90243,                0.70833,                      1,              0.0008416
                     16,                0.51314,                 1.9677,                0.42833,                      1,              0.0008317
                     17,                 0.5077,                 0.9101,                   0.63,                      1,              0.0008218
                     18,                0.52126,                  1.062,                0.70167,                      1,              0.0008119
                     19,                0.49573,                0.52228,                0.89333,                      1,               0.000802
                     20,                0.49506,                0.56137,                0.87833,                      1,              0.0007921
                     21,                0.48902,                 1.2404,                  0.575,                      1,              0.0007822
                     22,                0.48776,                 1.9433,                0.32833,                      1,              0.0007723
                     23,                 0.4855,                 1.2006,                   0.59,                      1,              0.0007624
                     24,                0.47356,                0.45922,                0.91667,                      1,              0.0007525
                     25,                0.48259,                 1.0806,                   0.66,                      1,              0.0007426
                     26,                 0.4792,                 1.4658,                  0.455,                      1,              0.0007327
                     27,                0.48336,                0.60393,                   0.82,                      1,              0.0007228
                     28,                0.46832,                0.60706,                  0.835,                      1,              0.0007129
                     29,                0.46245,                 1.2034,                0.54833,                      1,               0.000703
                     30,                0.46797,                0.56479,                0.83333,                      1,              0.0006931
                     31,                0.47968,                   0.56,                   0.86,                      1,              0.0006832
                     32,                0.46069,                0.52777,                   0.88,                      1,              0.0006733
                     33,                0.46098,                 1.5134,                0.41833,                      1,              0.0006634
                     34,                0.47323,                  1.447,                0.51333,                      1,              0.0006535
                     35,                 0.4476,                 0.4691,                0.91167,                      1,              0.0006436
                     36,                0.45302,                  1.193,                0.56167,                      1,              0.0006337
                     37,                0.43638,                0.45925,                0.90167,                      1,              0.0006238
                     38,                0.44918,                0.48709,                0.91167,                      1,              0.0006139
                     39,                0.45499,                0.45434,                  0.905,                      1,               0.000604
                     40,                0.45121,                 1.1275,                0.59833,                      1,              0.0005941
                     41,                0.45382,                0.48872,                0.89667,                      1,              0.0005842
                     42,                0.44268,                0.46034,                0.90667,                      1,              0.0005743
                     43,                0.44673,                0.43426,                  0.935,                      1,              0.0005644
                     44,                0.43575,                0.42468,                   0.94,                      1,              0.0005545
                     45,                0.44765,                  2.271,                0.34333,                      1,              0.0005446
                     46,                0.43478,                0.44645,                0.92833,                      1,              0.0005347
                     47,                0.44231,                 0.5027,                0.89167,                      1,              0.0005248
                     48,                0.43156,                 1.1769,                  0.675,                      1,              0.0005149
                     49,                0.43852,                0.58711,                  0.805,                      1,               0.000505
                     50,                0.43611,                0.57177,                0.82667,                      1,              0.0004951
                     51,                0.44292,                 1.3765,                  0.525,                      1,              0.0004852
                     52,                0.42477,                0.65889,                  0.815,                      1,              0.0004753
                     53,                0.43296,                0.47362,                0.90333,                      1,              0.0004654
                     54,                0.43666,                 2.0525,                0.38833,                      1,              0.0004555
                     55,                0.43902,                0.69455,                0.80167,                      1,              0.0004456
                     56,                0.42138,                0.93654,                0.57333,                      1,              0.0004357
                     57,                0.42519,                 1.0396,                0.53333,                      1,              0.0004258
                     58,                0.41439,                0.43193,                0.92167,                      1,              0.0004159
                     59,                0.41375,                0.42273,                  0.925,                      1,               0.000406
                     60,                0.41893,                0.44266,                0.91333,                      1,              0.0003961
                     61,                0.41906,                0.74531,                  0.745,                      1,              0.0003862
                     62,                0.41175,                0.92346,                  0.695,                      1,              0.0003763
                     63,                0.41517,                0.60533,                0.80667,                      1,              0.0003664
                     64,                0.40808,                0.41565,                  0.935,                      1,              0.0003565
                     65,                0.40483,                 1.3551,                0.64667,                      1,              0.0003466
                     66,                0.41962,                0.47879,                0.90667,                      1,              0.0003367
                     67,                0.41329,                 1.5969,                0.51333,                      1,              0.0003268
                     68,                0.40311,                0.50091,                   0.88,                      1,              0.0003169
                     69,                0.41015,                 0.7943,                0.61833,                      1,               0.000307
                     70,                0.41338,                0.59497,                  0.835,                      1,              0.0002971
                     71,                0.40766,                0.43387,                0.91667,                      1,              0.0002872
                     72,                0.40206,                0.44671,                  0.935,                      1,              0.0002773
                     73,                0.39619,                0.45235,                0.89833,                      1,              0.0002674
                     74,                0.40571,                 0.4537,                0.91333,                      1,              0.0002575
                     75,                0.39656,                0.42409,                0.93667,                      1,              0.0002476
                     76,                0.39336,                0.45132,                0.91833,                      1,              0.0002377
                     77,                0.40563,                0.62171,                   0.79,                      1,              0.0002278
                     78,                0.39136,                0.41217,                   0.94,                      1,              0.0002179
                     79,                0.40084,                0.40491,                   0.94,                      1,               0.000208
                     80,                0.39375,                0.41366,                0.93167,                      1,              0.0001981
                     81,                0.39162,                0.64196,                0.79167,                      1,              0.0001882
                     82,                0.39145,                 0.4504,                0.92667,                      1,              0.0001783
                     83,                0.39607,                0.41997,                0.93667,                      1,              0.0001684
                     84,                0.38345,                0.55889,                0.84667,                      1,              0.0001585
                     85,                0.38554,                0.94891,                   0.59,                      1,              0.0001486
                     86,                 0.3945,                0.43096,                0.93333,                      1,              0.0001387
                     87,                0.39198,                0.43934,                  0.925,                      1,              0.0001288
                     88,                 0.3903,                0.43897,                0.93167,                      1,              0.0001189
                     89,                0.38976,                0.52119,                0.87167,                      1,               0.000109
                     90,                0.38746,                0.44619,                  0.925,                      1,               9.91e-05
                     91,                0.38558,                 0.6266,                0.80333,                      1,               8.92e-05
                     92,                0.38198,                0.47719,                0.89167,                      1,               7.93e-05
                     93,                0.37693,                0.41424,                0.93833,                      1,               6.94e-05
                     94,                0.37267,                 0.4015,                   0.94,                      1,               5.95e-05
                     95,                0.38342,                0.40049,                0.93833,                      1,               4.96e-05
                     96,                0.37685,                0.41591,                   0.93,                      1,               3.97e-05
                     97,                0.38059,                0.41193,                0.93833,                      1,               2.98e-05
                     98,                0.37907,                0.41467,                0.92667,                      1,               1.99e-05
                     99,                0.38101,                0.42259,                  0.925,                      1,                  1e-05
