                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.9105,                 1.1952,                0.33333,                      1,              0.0009901
                      1,                0.75778,                0.90674,                0.56333,                      1,              0.0009802
                      2,                0.74235,                0.79787,                  0.725,                      1,              0.0009703
                      3,                0.71575,                 1.1801,                0.36667,                      1,              0.0009604
                      4,                0.69115,                0.78666,                   0.67,                      1,              0.0009505
                      5,                0.63105,                 1.0981,                0.48333,                      1,              0.0009406
                      6,                0.61553,                 1.0658,                0.59167,                      1,              0.0009307
                      7,                0.60647,                0.76371,                0.66167,                      1,              0.0009208
                      8,                0.59159,                 1.1018,                  0.595,                      1,              0.0009109
                      9,                 0.5858,                0.57651,                0.84167,                      1,               0.000901
                     10,                0.56429,                 0.7271,                   0.74,                      1,              0.0008911
                     11,                0.54558,                0.66099,                   0.78,                      1,              0.0008812
                     12,                0.56577,                0.60474,                0.86833,                      1,              0.0008713
                     13,                0.53946,                0.50913,                0.88667,                      1,              0.0008614
                     14,                0.52493,                0.49649,                0.90333,                      1,              0.0008515
                     15,                0.51878,                0.50551,                   0.88,                      1,              0.0008416
                     16,                0.50441,                 0.4982,                0.88333,                      1,              0.0008317
                     17,                0.50419,                0.53086,                0.86833,                      1,              0.0008218
                     18,                0.48448,                0.58727,                0.81167,                      1,              0.0008119
                     19,                0.47335,                  0.465,                   0.92,                      1,               0.000802
                     20,                0.49248,                0.45083,                  0.905,                      1,              0.0007921
                     21,                0.46798,                0.48884,                    0.9,                      1,              0.0007822
                     22,                 0.4585,                0.43638,                0.92333,                      1,              0.0007723
                     23,                0.46994,                0.42765,                0.94333,                      1,              0.0007624
                     24,                0.45674,                0.47495,                    0.9,                      1,              0.0007525
                     25,                0.47135,                0.56421,                0.85667,                      1,              0.0007426
                     26,                0.45316,                0.39957,                   0.95,                      1,              0.0007327
                     27,                 0.4565,                0.51438,                  0.865,                      1,              0.0007228
                     28,                0.44483,                0.52032,                0.86833,                      1,              0.0007129
                     29,                0.44425,                0.42807,                0.92167,                      1,               0.000703
                     30,                 0.4351,                0.44843,                0.91833,                      1,              0.0006931
                     31,                0.44179,                0.43358,                  0.925,                      1,              0.0006832
                     32,                0.42717,                0.54677,                0.84667,                      1,              0.0006733
                     33,                0.44407,                0.45502,                   0.91,                      1,              0.0006634
                     34,                0.44694,                0.42343,                0.92333,                      1,              0.0006535
                     35,                0.42635,                0.41691,                0.94167,                      1,              0.0006436
                     36,                0.43204,                0.43964,                  0.935,                      1,              0.0006337
                     37,                0.42794,                0.44038,                0.91833,                      1,              0.0006238
                     38,                0.42599,                0.50224,                0.87667,                      1,              0.0006139
                     39,                0.42546,                 0.4667,                0.89333,                      1,               0.000604
                     40,                 0.4164,                0.46327,                  0.915,                      1,              0.0005941
                     41,                 0.4213,                0.42832,                0.93167,                      1,              0.0005842
                     42,                0.41638,                0.46285,                0.90833,                      1,              0.0005743
                     43,                0.41752,                0.46227,                0.92167,                      1,              0.0005644
                     44,                0.41166,                0.42126,                0.93167,                      1,              0.0005545
                     45,                0.42143,                0.43335,                0.92667,                      1,              0.0005446
                     46,                0.40666,                0.39892,                0.93667,                      1,              0.0005347
                     47,                0.41131,                0.63026,                0.83333,                      1,              0.0005248
                     48,                0.41016,                0.45828,                   0.91,                      1,              0.0005149
                     49,                0.41442,                0.41899,                   0.94,                      1,               0.000505
                     50,                0.41388,                0.40712,                0.93833,                      1,              0.0004951
                     51,                0.41069,                0.40807,                0.94333,                      1,              0.0004852
                     52,                0.39486,                0.42062,                0.93667,                      1,              0.0004753
                     53,                0.40877,                0.41471,                0.94333,                      1,              0.0004654
                     54,                 0.4085,                0.40147,                   0.94,                      1,              0.0004555
                     55,                0.39876,                0.42224,                  0.935,                      1,              0.0004456
                     56,                 0.3961,                0.44485,                   0.92,                      1,              0.0004357
                     57,                0.40852,                0.46323,                0.90667,                      1,              0.0004258
                     58,                0.39088,                0.57905,                  0.845,                      1,              0.0004159
                     59,                0.40101,                0.41198,                  0.935,                      1,               0.000406
                     60,                0.39561,                0.44845,                0.91833,                      1,              0.0003961
                     61,                0.39975,                0.45518,                   0.92,                      1,              0.0003862
                     62,                0.38841,                0.39079,                0.95167,                      1,              0.0003763
                     63,                0.39027,                0.48934,                  0.905,                      1,              0.0003664
                     64,                0.38368,                0.41786,                   0.93,                      1,              0.0003565
                     65,                 0.3851,                0.40415,                   0.94,                      1,              0.0003466
                     66,                0.38927,                0.39923,                   0.95,                      1,              0.0003367
                     67,                0.38895,                0.47511,                    0.9,                      1,              0.0003268
                     68,                0.38694,                0.38984,                   0.95,                      1,              0.0003169
                     69,                 0.3859,                0.47428,                0.91167,                      1,               0.000307
                     70,                0.38797,                0.40369,                  0.945,                      1,              0.0002971
                     71,                0.37957,                0.41353,                0.93667,                      1,              0.0002872
                     72,                0.37881,                0.45857,                0.91333,                      1,              0.0002773
                     73,                0.37778,                0.39311,                0.95333,                      1,              0.0002674
                     74,                0.38141,                0.41613,                  0.935,                      1,              0.0002575
                     75,                0.37853,                0.43634,                0.92167,                      1,              0.0002476
                     76,                0.37124,                0.42572,                0.93333,                      1,              0.0002377
                     77,                0.38317,                0.41748,                0.93333,                      1,              0.0002278
                     78,                0.37275,                0.39539,                  0.945,                      1,              0.0002179
                     79,                0.37231,                 0.3893,                0.94667,                      1,               0.000208
                     80,                0.36642,                0.42694,                0.92333,                      1,              0.0001981
                     81,                0.36762,                0.46748,                0.91333,                      1,              0.0001882
                     82,                0.37607,                0.40337,                0.94333,                      1,              0.0001783
                     83,                0.37479,                0.41807,                  0.935,                      1,              0.0001684
                     84,                0.36574,                0.43082,                0.92833,                      1,              0.0001585
                     85,                0.36338,                0.38903,                0.94167,                      1,              0.0001486
                     86,                0.37214,                0.42339,                0.93333,                      1,              0.0001387
                     87,                0.36989,                 0.4318,                  0.935,                      1,              0.0001288
                     88,                0.37021,                0.42184,                  0.935,                      1,              0.0001189
                     89,                0.37608,                0.44724,                0.92333,                      1,               0.000109
                     90,                0.37049,                0.42641,                0.92667,                      1,               9.91e-05
                     91,                 0.3628,                0.42114,                0.93667,                      1,               8.92e-05
                     92,                0.36471,                0.39406,                  0.945,                      1,               7.93e-05
                     93,                0.36075,                0.40545,                0.93833,                      1,               6.94e-05
                     94,                0.35655,                0.40734,                0.93833,                      1,               5.95e-05
                     95,                 0.3598,                0.40561,                0.93833,                      1,               4.96e-05
                     96,                0.35639,                0.42788,                  0.935,                      1,               3.97e-05
                     97,                0.35151,                0.41753,                0.93833,                      1,               2.98e-05
                     98,                0.35908,                0.41287,                  0.935,                      1,               1.99e-05
                     99,                0.36098,                 0.4118,                0.93667,                      1,                  1e-05
