                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.95357,                 1.1152,                0.33333,                      1,              0.0009901
                      1,                0.79642,                 3.0828,                  0.365,                      1,              0.0009802
                      2,                0.72717,                0.82938,                  0.685,                      1,              0.0009703
                      3,                0.66248,                0.55081,                  0.875,                      1,              0.0009604
                      4,                0.63082,                0.91373,                  0.565,                      1,              0.0009505
                      5,                0.58141,                0.60597,                0.83167,                      1,              0.0009406
                      6,                0.56782,                0.63823,                  0.785,                      1,              0.0009307
                      7,                0.56767,                0.57941,                   0.88,                      1,              0.0009208
                      8,                0.54344,                0.51894,                0.86667,                      1,              0.0009109
                      9,                0.52933,                0.58064,                0.89167,                      1,               0.000901
                     10,                0.52045,                0.74673,                   0.78,                      1,              0.0008911
                     11,                0.51087,                0.56038,                  0.875,                      1,              0.0008812
                     12,                0.53194,                0.89524,                0.56833,                      1,              0.0008713
                     13,                0.50242,                0.56299,                0.85833,                      1,              0.0008614
                     14,                0.51873,                0.74376,                0.76333,                      1,              0.0008515
                     15,                0.50112,                0.47869,                0.91167,                      1,              0.0008416
                     16,                0.48922,                0.61911,                   0.85,                      1,              0.0008317
                     17,                0.48639,                0.60702,                0.84167,                      1,              0.0008218
                     18,                0.47166,                0.54956,                   0.87,                      1,              0.0008119
                     19,                0.46897,                0.52343,                  0.915,                      1,               0.000802
                     20,                0.48324,                0.50673,                0.87333,                      1,              0.0007921
                     21,                0.46452,                0.51577,                0.86333,                      1,              0.0007822
                     22,                0.45662,                0.45244,                0.92833,                      1,              0.0007723
                     23,                0.46934,                0.52026,                  0.875,                      1,              0.0007624
                     24,                0.46394,                0.50657,                   0.89,                      1,              0.0007525
                     25,                0.46727,                0.54702,                0.89833,                      1,              0.0007426
                     26,                0.46328,                0.55659,                  0.855,                      1,              0.0007327
                     27,                 0.4651,                0.58104,                   0.82,                      1,              0.0007228
                     28,                0.44317,                0.49472,                0.89333,                      1,              0.0007129
                     29,                0.44815,                0.43703,                0.91667,                      1,               0.000703
                     30,                0.44437,                0.48967,                   0.89,                      1,              0.0006931
                     31,                0.44823,                0.49838,                0.88333,                      1,              0.0006832
                     32,                0.43439,                0.54628,                0.86333,                      1,              0.0006733
                     33,                0.43959,                0.62578,                0.83667,                      1,              0.0006634
                     34,                0.45907,                 1.0435,                0.61833,                      1,              0.0006535
