                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.96081,                 1.1643,                0.33333,                      1,              0.0009901
                      1,                0.80188,                 1.4302,                0.40667,                      1,              0.0009802
                      2,                0.74577,                 1.3371,                0.41333,                      1,              0.0009703
                      3,                0.72382,                0.82914,                   0.67,                      1,              0.0009604
                      4,                0.66564,                 1.5091,                  0.445,                      1,              0.0009505
                      5,                 0.6353,                 1.2352,                0.37167,                      1,              0.0009406
                      6,                 0.6148,                0.59267,                   0.88,                      1,              0.0009307
                      7,                0.60254,                0.73864,                0.75833,                      1,              0.0009208
                      8,                0.56852,                0.58872,                0.82667,                      1,              0.0009109
                      9,                0.56242,                0.78967,                0.74167,                      1,               0.000901
                     10,                0.54797,                0.60006,                   0.81,                      1,              0.0008911
                     11,                0.53549,                0.56675,                0.84833,                      1,              0.0008812
                     12,                0.54171,                0.86896,                  0.645,                      1,              0.0008713
                     13,                0.53619,                0.52801,                0.87833,                      1,              0.0008614
                     14,                0.52817,                0.57463,                  0.875,                      1,              0.0008515
                     15,                0.51156,                 1.3575,                   0.66,                      1,              0.0008416
                     16,                0.49865,                 0.4678,                0.90833,                      1,              0.0008317
                     17,                 0.4931,                0.89703,                   0.58,                      1,              0.0008218
                     18,                0.48409,                0.62471,                0.81333,                      1,              0.0008119
                     19,                0.47585,                0.47927,                0.91333,                      1,               0.000802
                     20,                0.48331,                0.62138,                   0.81,                      1,              0.0007921
                     21,                0.47764,                0.79878,                0.75833,                      1,              0.0007822
                     22,                0.46123,                0.89589,                  0.695,                      1,              0.0007723
                     23,                0.47476,                0.60511,                   0.83,                      1,              0.0007624
                     24,                0.46881,                0.51802,                  0.885,                      1,              0.0007525
                     25,                0.47164,                0.49288,                  0.905,                      1,              0.0007426
                     26,                0.45169,                0.49314,                  0.885,                      1,              0.0007327
                     27,                0.46798,                0.85559,                0.76667,                      1,              0.0007228
                     28,                0.45718,                 1.4022,                0.64333,                      1,              0.0007129
                     29,                0.44379,                0.69376,                0.82833,                      1,               0.000703
                     30,                0.44493,                0.48317,                0.88667,                      1,              0.0006931
                     31,                0.46213,                0.52575,                0.88833,                      1,              0.0006832
                     32,                 0.4469,                0.45469,                0.91833,                      1,              0.0006733
                     33,                0.44774,                0.46564,                0.91667,                      1,              0.0006634
                     34,                0.45603,                0.69731,                   0.81,                      1,              0.0006535
                     35,                0.43296,                0.73812,                0.81333,                      1,              0.0006436
                     36,                 0.4441,                0.51204,                0.87667,                      1,              0.0006337
                     37,                0.42837,                 0.5133,                   0.89,                      1,              0.0006238
                     38,                0.44098,                0.48099,                0.89167,                      1,              0.0006139
                     39,                0.43478,                0.66489,                   0.85,                      1,               0.000604
                     40,                0.43369,                0.68361,                0.81167,                      1,              0.0005941
                     41,                0.43193,                0.44323,                0.91167,                      1,              0.0005842
                     42,                0.43451,                 0.5183,                   0.88,                      1,              0.0005743
                     43,                 0.4313,                0.43043,                0.92667,                      1,              0.0005644
                     44,                0.42144,                0.42658,                0.92167,                      1,              0.0005545
                     45,                0.43577,                0.46463,                0.90667,                      1,              0.0005446
                     46,                0.42419,                0.43889,                0.92333,                      1,              0.0005347
                     47,                0.42281,                0.49378,                0.90167,                      1,              0.0005248
                     48,                 0.4199,                0.45593,                  0.905,                      1,              0.0005149
                     49,                  0.421,                0.50907,                   0.89,                      1,               0.000505
                     50,                0.42129,                0.65311,                  0.835,                      1,              0.0004951
                     51,                0.42343,                 0.4098,                0.93167,                      1,              0.0004852
                     52,                0.40807,                0.45216,                   0.91,                      1,              0.0004753
                     53,                0.41753,                0.67342,                  0.815,                      1,              0.0004654
                     54,                0.42124,                0.45337,                0.91333,                      1,              0.0004555
                     55,                0.41557,                0.42348,                0.92167,                      1,              0.0004456
                     56,                0.40928,                0.54785,                   0.87,                      1,              0.0004357
                     57,                0.41471,                0.38809,                  0.955,                      1,              0.0004258
                     58,                0.40628,                0.73168,                0.79667,                      1,              0.0004159
                     59,                 0.4014,                0.44279,                   0.91,                      1,               0.000406
                     60,                0.40685,                0.42627,                  0.925,                      1,              0.0003961
                     61,                0.41188,                 1.2261,                0.56833,                      1,              0.0003862
                     62,                0.40098,                0.43161,                   0.92,                      1,              0.0003763
                     63,                0.40015,                0.40419,                0.94667,                      1,              0.0003664
                     64,                0.39611,                0.42686,                   0.93,                      1,              0.0003565
                     65,                0.39298,                0.46232,                0.90667,                      1,              0.0003466
                     66,                 0.3971,                0.66208,                   0.85,                      1,              0.0003367
                     67,                0.40109,                0.51937,                0.87833,                      1,              0.0003268
                     68,                 0.3904,                0.40252,                0.94833,                      1,              0.0003169
                     69,                0.40148,                0.75489,                   0.77,                      1,               0.000307
                     70,                0.40014,                0.44542,                0.91833,                      1,              0.0002971
                     71,                0.39068,                0.41113,                0.93833,                      1,              0.0002872
                     72,                0.39187,                0.43284,                  0.935,                      1,              0.0002773
                     73,                0.38689,                0.45761,                0.91833,                      1,              0.0002674
                     74,                0.39242,                0.43417,                0.92667,                      1,              0.0002575
                     75,                0.38795,                0.45841,                0.90833,                      1,              0.0002476
                     76,                0.38784,                0.43859,                0.93333,                      1,              0.0002377
                     77,                0.38907,                 0.4255,                0.92167,                      1,              0.0002278
                     78,                0.38271,                0.47556,                  0.905,                      1,              0.0002179
                     79,                0.38514,                0.40091,                0.95167,                      1,               0.000208
                     80,                0.37891,                0.39886,                   0.95,                      1,              0.0001981
                     81,                0.38106,                0.42552,                  0.925,                      1,              0.0001882
                     82,                0.38581,                 0.4211,                0.94167,                      1,              0.0001783
                     83,                0.38507,                0.47749,                0.90167,                      1,              0.0001684
                     84,                0.37448,                0.42038,                0.93667,                      1,              0.0001585
                     85,                0.37709,                0.50539,                  0.895,                      1,              0.0001486
                     86,                0.37852,                0.39861,                0.95167,                      1,              0.0001387
                     87,                0.38557,                 0.4492,                0.92667,                      1,              0.0001288
                     88,                0.37803,                0.40563,                0.93833,                      1,              0.0001189
                     89,                0.38282,                0.43245,                0.92667,                      1,               0.000109
                     90,                0.38272,                0.45213,                  0.915,                      1,               9.91e-05
                     91,                 0.3724,                 0.4054,                  0.945,                      1,               8.92e-05
                     92,                0.36873,                0.40843,                   0.95,                      1,               7.93e-05
                     93,                0.36902,                0.40759,                   0.94,                      1,               6.94e-05
                     94,                0.36284,                0.39527,                0.95333,                      1,               5.95e-05
                     95,                0.37319,                0.38869,                0.96167,                      1,               4.96e-05
                     96,                0.36364,                0.41468,                0.93667,                      1,               3.97e-05
                     97,                0.36284,                0.40417,                0.94333,                      1,               2.98e-05
                     98,                0.37026,                 0.3969,                0.95167,                      1,               1.99e-05
                     99,                0.36794,                0.39633,                0.95333,                      1,                  1e-05
