                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.99437,                 1.2354,                0.33333,                      1,              0.0009901
                      1,                0.83666,                 1.3736,                0.40833,                      1,              0.0009802
                      2,                0.76305,                0.91563,                0.62667,                      1,              0.0009703
                      3,                0.72378,                 0.7205,                0.78167,                      1,              0.0009604
                      4,                0.68891,                 1.0024,                0.64833,                      1,              0.0009505
                      5,                0.63508,                0.63399,                  0.845,                      1,              0.0009406
                      6,                0.64702,                0.71698,                0.75833,                      1,              0.0009307
                      7,                0.59321,                0.94724,                  0.655,                      1,              0.0009208
                      8,                 0.6074,                0.65289,                   0.82,                      1,              0.0009109
                      9,                0.56869,                0.61612,                0.81667,                      1,               0.000901
                     10,                0.57624,                0.84645,                  0.695,                      1,              0.0008911
                     11,                0.56365,                0.64032,                   0.81,                      1,              0.0008812
                     12,                 0.5505,                0.66145,                0.79833,                      1,              0.0008713
                     13,                0.55372,                0.68663,                  0.805,                      1,              0.0008614
                     14,                0.53777,                0.66047,                0.79833,                      1,              0.0008515
                     15,                0.51279,                0.54824,                0.85333,                      1,              0.0008416
                     16,                0.49193,                0.70833,                0.79333,                      1,              0.0008317
                     17,                 0.4902,                0.66493,                    0.8,                      1,              0.0008218
                     18,                0.49215,                0.74524,                0.78833,                      1,              0.0008119
                     19,                0.47388,                0.56258,                0.87833,                      1,               0.000802
                     20,                0.48211,                0.66869,                0.86667,                      1,              0.0007921
                     21,                0.47096,                0.66423,                0.84667,                      1,              0.0007822
                     22,                0.45615,                0.57964,                0.85667,                      1,              0.0007723
                     23,                0.46066,                0.63204,                0.86333,                      1,              0.0007624
                     24,                 0.4497,                0.58425,                0.87167,                      1,              0.0007525
                     25,                0.46553,                0.63279,                  0.865,                      1,              0.0007426
                     26,                0.44725,                0.51838,                    0.9,                      1,              0.0007327
                     27,                0.42827,                0.62258,                   0.88,                      1,              0.0007228
                     28,                0.43024,                0.72032,                0.84333,                      1,              0.0007129
                     29,                0.44595,                0.53509,                  0.885,                      1,               0.000703
                     30,                 0.4382,                0.56253,                0.86333,                      1,              0.0006931
                     31,                0.43546,                0.61119,                   0.85,                      1,              0.0006832
                     32,                0.41994,                0.55327,                   0.87,                      1,              0.0006733
                     33,                0.42341,                0.58466,                0.87833,                      1,              0.0006634
                     34,                0.42327,                0.58635,                   0.85,                      1,              0.0006535
                     35,                0.41647,                0.77078,                0.76333,                      1,              0.0006436
                     36,                0.43714,                0.57919,                   0.87,                      1,              0.0006337
                     37,                 0.4239,                0.56321,                0.87833,                      1,              0.0006238
                     38,                0.39793,                0.60095,                0.86167,                      1,              0.0006139
                     39,                 0.4162,                0.53267,                  0.875,                      1,               0.000604
                     40,                0.41702,                0.60835,                  0.875,                      1,              0.0005941
                     41,                0.40372,                0.70528,                0.86167,                      1,              0.0005842
                     42,                0.39594,                0.56422,                0.87333,                      1,              0.0005743
                     43,                0.40422,                0.62459,                0.88167,                      1,              0.0005644
                     44,                0.40128,                0.55098,                  0.895,                      1,              0.0005545
                     45,                 0.4072,                0.48656,                   0.91,                      1,              0.0005446
                     46,                0.40291,                0.60782,                0.88333,                      1,              0.0005347
                     47,                 0.4048,                0.57948,                0.86833,                      1,              0.0005248
                     48,                0.40253,                0.49708,                0.91833,                      1,              0.0005149
                     49,                0.38983,                0.56009,                0.89333,                      1,               0.000505
                     50,                 0.3873,                0.52101,                    0.9,                      1,              0.0004951
                     51,                0.39463,                0.56793,                0.87667,                      1,              0.0004852
                     52,                0.38693,                0.55149,                0.88833,                      1,              0.0004753
                     53,                0.38825,                0.60196,                0.87167,                      1,              0.0004654
                     54,                0.40044,                0.53023,                0.88167,                      1,              0.0004555
                     55,                0.38677,                0.56217,                0.89833,                      1,              0.0004456
                     56,                0.38936,                0.50226,                0.90167,                      1,              0.0004357
                     57,                0.38862,                0.58214,                0.88667,                      1,              0.0004258
                     58,                 0.3751,                0.53621,                0.89833,                      1,              0.0004159
                     59,                0.38777,                0.53297,                0.89667,                      1,               0.000406
                     60,                0.38885,                0.58246,                   0.88,                      1,              0.0003961
                     61,                0.37735,                0.54297,                0.89333,                      1,              0.0003862
                     62,                0.38281,                0.58351,                  0.875,                      1,              0.0003763
                     63,                0.37866,                0.52313,                0.89833,                      1,              0.0003664
                     64,                0.36961,                0.56233,                0.89833,                      1,              0.0003565
                     65,                0.37468,                0.60293,                   0.87,                      1,              0.0003466
                     66,                0.37437,                0.56212,                  0.875,                      1,              0.0003367
                     67,                0.37333,                0.54639,                0.89167,                      1,              0.0003268
                     68,                0.37359,                0.49853,                0.90167,                      1,              0.0003169
                     69,                0.37559,                0.54314,                  0.875,                      1,               0.000307
                     70,                0.37108,                0.58657,                0.88333,                      1,              0.0002971
                     71,                 0.3766,                0.56793,                0.88167,                      1,              0.0002872
                     72,                0.37375,                0.52599,                0.89333,                      1,              0.0002773
                     73,                0.36895,                0.54826,                0.88667,                      1,              0.0002674
                     74,                0.36183,                0.51876,                0.90667,                      1,              0.0002575
                     75,                0.37365,                 0.5237,                  0.905,                      1,              0.0002476
                     76,                0.35652,                0.52399,                0.89833,                      1,              0.0002377
                     77,                0.35893,                0.49949,                    0.9,                      1,              0.0002278
                     78,                0.36281,                0.59438,                  0.895,                      1,              0.0002179
                     79,                0.35982,                 0.5105,                0.90833,                      1,               0.000208
                     80,                0.36399,                0.59564,                   0.89,                      1,              0.0001981
                     81,                0.36222,                0.53432,                0.90167,                      1,              0.0001882
                     82,                0.35863,                0.50752,                  0.905,                      1,              0.0001783
                     83,                0.36257,                0.55843,                0.90167,                      1,              0.0001684
                     84,                0.36027,                0.51081,                0.89833,                      1,              0.0001585
                     85,                0.35059,                 0.5492,                  0.895,                      1,              0.0001486
                     86,                0.36199,                0.57001,                0.89333,                      1,              0.0001387
                     87,                0.35891,                0.55933,                0.88167,                      1,              0.0001288
                     88,                0.35189,                0.51841,                0.90333,                      1,              0.0001189
                     89,                0.34726,                0.57921,                    0.9,                      1,               0.000109
                     90,                 0.3511,                0.54742,                0.90333,                      1,               9.91e-05
                     91,                0.35068,                 0.5408,                    0.9,                      1,               8.92e-05
                     92,                0.35405,                0.56787,                  0.895,                      1,               7.93e-05
                     93,                0.34453,                0.58469,                0.89333,                      1,               6.94e-05
                     94,                0.35545,                  0.569,                0.89333,                      1,               5.95e-05
                     95,                0.35457,                0.56882,                0.89167,                      1,               4.96e-05
                     96,                0.34651,                0.55108,                0.89667,                      1,               3.97e-05
                     97,                0.34308,                 0.5457,                  0.895,                      1,               2.98e-05
                     98,                0.34252,                0.56465,                0.89333,                      1,               1.99e-05
                     99,                0.33532,                0.56078,                  0.895,                      1,                  1e-05
