                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.88282,                 1.1114,                0.33333,                      1,             0.00099505
                      1,                0.73686,                 1.1374,                  0.535,                      1,              0.0009901
                      2,                0.71067,                0.80304,                0.73167,                      1,             0.00098515
                      3,                0.68291,                0.88817,                0.69667,                      1,              0.0009802
                      4,                0.62746,                0.98907,                0.63167,                      1,             0.00097525
                      5,                0.58726,                0.82539,                0.77167,                      1,              0.0009703
                      6,                0.53992,                0.78559,                0.74333,                      1,             0.00096535
                      7,                 0.5471,                 1.1654,                0.68833,                      1,              0.0009604
                      8,                0.52366,                0.62143,                0.84833,                      1,             0.00095545
                      9,                0.50621,                0.65555,                  0.845,                      1,              0.0009505
                     10,                0.49007,                0.67769,                   0.82,                      1,             0.00094555
                     11,                0.48381,                0.58023,                  0.835,                      1,              0.0009406
                     12,                0.48713,                0.80952,                0.72167,                      1,             0.00093565
                     13,                0.46405,                0.70387,                0.78667,                      1,              0.0009307
                     14,                0.46296,                0.52186,                0.90167,                      1,             0.00092575
                     15,                0.46259,                0.59905,                0.84167,                      1,              0.0009208
                     16,                0.45508,                0.58535,                0.87167,                      1,             0.00091585
                     17,                0.44739,                0.71664,                0.80667,                      1,              0.0009109
                     18,                0.44422,                  0.523,                0.90167,                      1,             0.00090595
                     19,                 0.4324,                0.57381,                0.85667,                      1,               0.000901
                     20,                0.42628,                0.56378,                  0.855,                      1,             0.00089605
                     21,                0.42306,                0.55544,                0.88667,                      1,              0.0008911
                     22,                0.41207,                 0.4575,                0.93167,                      1,             0.00088615
                     23,                0.42203,                 0.6341,                  0.855,                      1,              0.0008812
                     24,                0.41955,                 0.6545,                   0.84,                      1,             0.00087625
                     25,                 0.4246,                0.58668,                  0.855,                      1,              0.0008713
                     26,                0.41078,                 0.5445,                0.87167,                      1,             0.00086635
                     27,                0.41154,                0.55724,                   0.86,                      1,              0.0008614
                     28,                0.40114,                0.48991,                0.90667,                      1,             0.00085645
                     29,                 0.4109,                0.54583,                   0.87,                      1,              0.0008515
                     30,                0.40138,                0.57283,                0.89667,                      1,             0.00084655
                     31,                0.39881,                0.50283,                0.91833,                      1,              0.0008416
                     32,                 0.3954,                 0.6526,                  0.835,                      1,             0.00083665
                     33,                0.39931,                0.61181,                0.87333,                      1,              0.0008317
                     34,                0.41784,                0.53577,                   0.89,                      1,             0.00082675
                     35,                0.39803,                0.48194,                0.91333,                      1,              0.0008218
                     36,                0.39979,                0.56029,                0.90167,                      1,             0.00081685
                     37,                0.38538,                0.55657,                0.89333,                      1,              0.0008119
                     38,                0.40059,                0.67692,                  0.795,                      1,             0.00080695
                     39,                0.39291,                0.60331,                   0.89,                      1,               0.000802
                     40,                0.37959,                0.62357,                0.88667,                      1,             0.00079705
                     41,                0.38652,                0.61461,                   0.83,                      1,              0.0007921
                     42,                0.38609,                0.51707,                0.91833,                      1,             0.00078715
                     43,                0.39094,                0.57509,                0.89333,                      1,              0.0007822
                     44,                0.39124,                0.64161,                  0.845,                      1,             0.00077725
                     45,                0.39261,                0.53314,                0.89333,                      1,              0.0007723
