                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.66847,                0.52392,                0.89584,                      1,              0.0009901
                      1,                0.50073,                0.42599,                0.93201,                      1,              0.0009802
                      2,                0.43411,                0.33887,                0.98746,                      1,              0.0009703
                      3,                0.40797,                0.32518,                0.99164,                      1,              0.0009604
                      4,                0.39092,                 0.3116,                0.99636,                      1,              0.0009505
                      5,                0.38502,                0.31249,                0.99546,                      1,              0.0009406
                      6,                 0.3776,                0.31285,                0.99891,                      1,              0.0009307
                      7,                0.37848,                0.30402,                0.99873,                      1,              0.0009208
                      8,                0.37306,                0.29927,                0.99982,                      1,              0.0009109
                      9,                0.36628,                0.30152,                0.99964,                      1,               0.000901
                     10,                0.36541,                0.29763,                      1,                      1,              0.0008911
                     11,                0.36083,                0.29717,                0.99891,                      1,              0.0008812
                     12,                0.35747,                0.29598,                      1,                      1,              0.0008713
                     13,                0.35624,                0.29595,                0.99891,                      1,              0.0008614
                     14,                0.35187,                0.29567,                0.99891,                      1,              0.0008515
                     15,                 0.3505,                0.29561,                0.99891,                      1,              0.0008416
                     16,                0.35084,                0.29418,                      1,                      1,              0.0008317
                     17,                0.34599,                0.29427,                      1,                      1,              0.0008218
                     18,                0.34473,                0.29432,                0.99982,                      1,              0.0008119
                     19,                0.34425,                  0.294,                      1,                      1,               0.000802
                     20,                0.34281,                0.29374,                      1,                      1,              0.0007921
                     21,                0.33908,                0.29366,                      1,                      1,              0.0007822
                     22,                 0.3402,                 0.2935,                      1,                      1,              0.0007723
                     23,                0.33779,                0.29353,                      1,                      1,              0.0007624
                     24,                0.33752,                0.29355,                      1,                      1,              0.0007525
                     25,                0.33294,                0.29351,                      1,                      1,              0.0007426
                     26,                0.33597,                0.29359,                      1,                      1,              0.0007327
                     27,                0.33337,                0.29369,                      1,                      1,              0.0007228
                     28,                 0.3319,                0.29379,                      1,                      1,              0.0007129
                     29,                0.33019,                0.29393,                      1,                      1,               0.000703
                     30,                0.32785,                0.29408,                      1,                      1,              0.0006931
                     31,                0.33006,                 0.2942,                      1,                      1,              0.0006832
                     32,                0.32997,                0.29433,                      1,                      1,              0.0006733
                     33,                0.32702,                0.29442,                0.99982,                      1,              0.0006634
                     34,                0.32663,                0.29466,                0.99982,                      1,              0.0006535
                     35,                0.32727,                0.29493,                0.99982,                      1,              0.0006436
                     36,                0.32715,                0.29509,                0.99982,                      1,              0.0006337
                     37,                0.32184,                0.29535,                0.99982,                      1,              0.0006238
                     38,                0.32403,                0.29565,                0.99982,                      1,              0.0006139
                     39,                 0.3244,                0.29587,                0.99982,                      1,               0.000604
                     40,                0.32279,                0.29587,                0.99982,                      1,              0.0005941
                     41,                 0.3223,                0.29595,                0.99982,                      1,              0.0005842
                     42,                 0.3205,                0.29608,                0.99982,                      1,              0.0005743
                     43,                 0.3211,                0.29632,                0.99982,                      1,              0.0005644
                     44,                0.32396,                0.29644,                0.99982,                      1,              0.0005545
                     45,                0.31836,                0.29653,                0.99982,                      1,              0.0005446
                     46,                0.31944,                0.29666,                0.99982,                      1,              0.0005347
                     47,                0.31994,                0.29676,                0.99982,                      1,              0.0005248
                     48,                0.31892,                 0.2969,                0.99982,                      1,              0.0005149
                     49,                0.32132,                 0.2971,                0.99982,                      1,               0.000505
                     50,                 0.3202,                0.29726,                0.99982,                      1,              0.0004951
                     51,                0.31651,                0.29728,                0.99982,                      1,              0.0004852
                     52,                0.31553,                0.29723,                0.99982,                      1,              0.0004753
                     53,                0.31555,                0.29719,                      1,                      1,              0.0004654
                     54,                0.31679,                 0.2971,                      1,                      1,              0.0004555
                     55,                0.31354,                0.29688,                      1,                      1,              0.0004456
                     56,                  0.315,                0.29674,                      1,                      1,              0.0004357
                     57,                0.31382,                0.29668,                      1,                      1,              0.0004258
                     58,                0.31526,                0.29657,                      1,                      1,              0.0004159
                     59,                0.31573,                0.29657,                      1,                      1,               0.000406
                     60,                0.31322,                0.29649,                      1,                      1,              0.0003961
                     61,                0.31419,                0.29645,                      1,                      1,              0.0003862
                     62,                0.31271,                0.29636,                      1,                      1,              0.0003763
