                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.82695,                0.65025,                0.79813,                      1,               0.000901
                      1,                0.70167,                0.60845,                0.83052,                      1,               0.000802
                      2,                0.64237,                 0.5944,                0.80183,                      1,               0.000703
                      3,                0.58597,                0.45642,                0.92239,                      1,               0.000604
                      4,                0.54737,                0.50211,                0.89916,                      1,               0.000505
                      5,                0.51613,                0.37942,                0.96128,                      1,               0.000406
                      6,                0.49166,                 0.3952,                0.95283,                      1,               0.000307
                      7,                0.47209,                0.37173,                0.96445,                      1,               0.000208
                      8,                0.45123,                0.34183,                0.98451,                      1,               0.000109
                      9,                0.42954,                0.34009,                0.98522,                      1,                  1e-05
