                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.0033,                    1.1,                0.34167,                      1,             0.00099505
                      1,                0.88314,                 1.0181,                0.52667,                      1,              0.0009901
                      2,                0.81134,                0.95604,                0.55167,                      1,             0.00098515
                      3,                0.77588,                0.70425,                0.76167,                      1,              0.0009802
                      4,                0.69949,                0.88803,                   0.69,                      1,             0.00097525
                      5,                0.67548,                0.65553,                0.79333,                      1,              0.0009703
                      6,                0.62406,                 0.8968,                0.71667,                      1,             0.00096535
                      7,                0.59808,                0.83507,                0.69333,                      1,              0.0009604
                      8,                 0.5922,                0.83348,                0.67333,                      1,             0.00095545
                      9,                0.58858,                0.59411,                0.81667,                      1,              0.0009505
                     10,                0.54578,                0.69988,                   0.78,                      1,             0.00094555
                     11,                0.54468,                0.47631,                0.91167,                      1,              0.0009406
                     12,                0.55783,                 0.6312,                   0.85,                      1,             0.00093565
                     13,                0.53448,                0.84363,                  0.685,                      1,              0.0009307
                     14,                0.51673,                0.66599,                0.77833,                      1,             0.00092575
                     15,                0.49244,                0.90007,                   0.67,                      1,              0.0009208
                     16,                0.47973,                0.60107,                0.86667,                      1,             0.00091585
                     17,                0.48846,                0.60064,                0.87333,                      1,              0.0009109
                     18,                0.46284,                0.54927,                0.87667,                      1,             0.00090595
                     19,                0.48655,                0.61172,                0.87833,                      1,               0.000901
                     20,                0.48273,                0.47518,                   0.91,                      1,             0.00089605
                     21,                0.47376,                0.56971,                0.86333,                      1,              0.0008911
                     22,                0.46033,                0.57718,                0.85667,                      1,             0.00088615
                     23,                0.46633,                0.47952,                0.90333,                      1,              0.0008812
                     24,                0.45188,                0.50275,                0.89667,                      1,             0.00087625
                     25,                0.43688,                0.52383,                0.87333,                      1,              0.0008713
                     26,                0.43777,                0.49374,                0.90667,                      1,             0.00086635
                     27,                0.44384,                0.64488,                   0.85,                      1,              0.0008614
                     28,                 0.4453,                0.64382,                0.82667,                      1,             0.00085645
                     29,                0.43355,                0.54515,                0.88167,                      1,              0.0008515
                     30,                0.43167,                0.59697,                0.84833,                      1,             0.00084655
                     31,                0.43112,                0.42802,                0.93167,                      1,              0.0008416
                     32,                0.41916,                0.61709,                0.87667,                      1,             0.00083665
                     33,                0.41781,                0.55367,                  0.895,                      1,              0.0008317
                     34,                0.41111,                0.49947,                0.90167,                      1,             0.00082675
                     35,                 0.4335,                0.56616,                0.88667,                      1,              0.0008218
                     36,                0.42262,                0.59465,                0.87667,                      1,             0.00081685
                     37,                0.41293,                 0.4543,                0.92333,                      1,              0.0008119
                     38,                0.40715,                0.63268,                0.82333,                      1,             0.00080695
                     39,                 0.4024,                0.48943,                0.90667,                      1,               0.000802
                     40,                0.40721,                0.53587,                  0.895,                      1,             0.00079705
                     41,                0.39999,                0.51816,                0.90333,                      1,              0.0007921
                     42,                0.38708,                0.57755,                0.89167,                      1,             0.00078715
                     43,                 0.4014,                0.48005,                0.90833,                      1,              0.0007822
                     44,                0.39399,                0.69804,                0.83833,                      1,             0.00077725
                     45,                0.41135,                0.50437,                0.89333,                      1,              0.0007723
                     46,                0.39996,                0.52775,                0.86167,                      1,             0.00076735
                     47,                0.39511,                0.49376,                    0.9,                      1,              0.0007624
                     48,                 0.4117,                 0.4929,                0.89333,                      1,             0.00075745
