;             train/loss;               val/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
0;1,0568;0,99086;0,61629;1;0,00099753
1;1,0199;0,98156;0,51655;1;0,00099505
2;0,99927;1,1782;0,25392;1;0,00099258
3;0,8969;0,8824;0,56925;1;0,0009901
4;0,83133;0,77938;0,7047;1;0,00098763
5;0,81477;0,77951;0,66551;1;0,00098515
6;0,78692;0,70183;0,76481;1;0,00098268
7;0,75408;0,73416;0,73345;1;0,0009802
8;0,7268;0,63771;0,79225;1;0,00097773
9;0,7097;0,54561;0,87108;1;0,00097525
10;0,67729;0,74873;0,7047;1;0,00097278
11;0,66767;0,54622;0,86803;1;0,0009703
12;0,64975;0,66588;0,7892;1;0,00096783
13;0,63277;0,59682;0,82099;1;0,00096535
14;0,62371;0,54715;0,87761;1;0,00096288
15;0,6174;0,60089;0,82491;1;0,0009604
16;0,60428;0,50971;0,8946;1;0,00095793
17;0,59634;0,47097;0,91812;1;0,00095545
18;0,58941;0,68348;0,76916;1;0,00095298
19;0,5737;0,4573;0,91986;1;0,0009505
20;0,57498;0,44969;0,91725;1;0,00094803
21;0,56273;0,43206;0,92639;1;0,00094555
22;0,555;0,57629;0,83014;1;0,00094308
23;0,54822;0,39813;0,95514;1;0,0009406
24;0,53588;0,49508;0,88632;1;0,00093813
25;0,52563;0,4681;0,9081;1;0,00093565
26;0,51856;0,4078;0,94164;1;0,00093317
27;0,5155;0,42882;0,93118;1;0,0009307
28;0,51454;0,42115;0,93206;1;0,00092822
29;0,51544;0,41296;0,94164;1;0,00092575
30;0,50642;0,4543;0,92857;1;0,00092327
31;0,5014;0,37919;0,96429;1;0,0009208
32;0,50144;0,4199;0,94556;1;0,00091833
33;0,49284;0,42879;0,92683;1;0,00091585
34;0,48735;0,39273;0,95035;1;0,00091337
35;0,48025;0,37067;0,97038;1;0,0009109
36;0,48534;0,39699;0,94599;1;0,00090842
37;0,4798;0,37526;0,96254;1;0,00090595
38;0,47403;0,36271;0,97038;1;0,00090347
39;0,47201;0,36335;0,96995;1;0,000901
40;0,4722;0,38159;0,96167;1;0,00089853
41;0,47527;0,36314;0,96516;1;0,00089605
42;0,47221;0,36233;0,97169;1;0,00089358
43;0,46665;0,37645;0,96777;1;0,0008911
44;0,46098;0,3615;0,96777;1;0,00088862
45;0,47028;0,3645;0,96646;1;0,00088615
46;0,45538;0,34977;0,973;1;0,00088368
47;0,45998;0,36175;0,97082;1;0,0008812
48;0,4529;0,35599;0,973;1;0,00087873
49;0,45697;0,35055;0,9743;1;0,00087625
50;0,45454;0,3516;0,97735;1;0,00087378
51;0,44384;0,34852;0,97605;1;0,0008713
52;0,44545;0,35016;0,973;1;0,00086882
53;0,4511;0,34546;0,97953;1;0,00086635
54;0,45349;0,3549;0,96995;1;0,00086388
55;0,43994;0,35774;0,97125;1;0,0008614
56;0,44868;0,34277;0,97866;1;0,00085893
57;0,44196;0,34312;0,97997;1;0,00085645
58;0,44513;0,34727;0,98084;1;0,00085398
59;0,44182;0,34317;0,97866;1;0,0008515
60;0,44209;0,34327;0,98127;1;0,00084902
61;0,42927;0,34183;0,98127;1;0,00084655
62;0,42564;0,33889;0,98476;1;0,00084408
63;0,43387;0,33982;0,98519;1;0,0008416
64;0,4362;0,34204;0,98171;1;0,00083913
65;0,43386;0,34203;0,98171;1;0,00083665
66;0,42821;0,33893;0,97997;1;0,00083418
67;0,43687;0,33727;0,98258;1;0,0008317
68;0,43558;0,33684;0,98345;1;0,00082923
69;0,42877;0,33803;0,98389;1;0,00082675
70;0,42718;0,33753;0,98389;1;0,00082427
71;0,42477;0,33863;0,98301;1;0,0008218
72;0,42138;0,33759;0,98389;1;0,00081932
73;0,42141;0,33645;0,98258;1;0,00081685
74;0,4247;0,33447;0,98519;1;0,00081437
75;0,42918;0,33486;0,98824;1;0,0008119
76;0,42328;0,33595;0,98476;1;0,00080943
77;0,42138;0,33589;0,98606;1;0,00080695
78;0,4239;0,3341;0,9865;1;0,00080447
79;0,41621;0,33345;0,9865;1;0,000802
80;0,42273;0,33319;0,9865;1;0,00079953
81;0,41434;0,33339;0,98563;1;0,00079705
82;0,41711;0,33339;0,98389;1;0,00079458
83;0,41109;0,33321;0,98432;1;0,0007921
84;0,41956;0,33319;0,98606;1;0,00078963
85;0,40812;0,3327;0,98606;1;0,00078715
86;0,40772;0,33061;0,98737;1;0,00078467
87;0,40922;0,33071;0,98606;1;0,0007822
88;0,41193;0,33055;0,9878;1;0,00077972
89;0,41494;0,32997;0,98737;1;0,00077725
90;0,41018;0,3297;0,98737;1;0,00077478
91;0,40996;0,32975;0,9865;1;0,0007723
92;0,40892;0,32983;0,9865;1;0,00076983
93;0,40919;0,32951;0,98606;1;0,00076735
94;0,40334;0,32909;0,98606;1;0,00076488
95;0,4084;0,32917;0,9865;1;0,0007624
96;0,40825;0,32967;0,9865;1;0,00075993
97;0,40613;0,3292;0,9865;1;0,00075745
98;0,40385;0,32946;0,9865;1;0,00075497
99;0,40567;0,32924;0,9865;1;0,0007525
100;0,40494;0,32913;0,98693;1;0,00075003
101;0,40309;0,32937;0,98693;1;0,00074755
102;0,40202;0,32937;0,98606;1;0,00074507
103;0,40335;0,32943;0,98519;1;0,0007426
104;0,39836;0,32941;0,98519;1;0,00074013
105;0,39799;0,32955;0,98519;1;0,00073765
106;0,39976;0,32941;0,98519;1;0,00073517
107;0,39878;0,32907;0,98563;1;0,0007327
108;0,39608;0,32876;0,98606;1;0,00073023
109;0,39761;0,32856;0,98606;1;0,00072775
110;0,39362;0,32822;0,9865;1;0,00072527
111;0,40055;0,32809;0,9865;1;0,0007228
112;0,39854;0,32791;0,9865;1;0,00072032
113;0,38912;0,32789;0,9865;1;0,00071785
114;0,39114;0,32773;0,9865;1;0,00071537
115;0,38805;0,32764;0,9865;1;0,0007129
116;0,39687;0,32745;0,98606;1;0,00071042
