;             train/loss;              test/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
0;0.59975;0.66666;0.84407;1;0.00099934
1;0.48857;0.48438;0.95254;1;0.00099868
2;0.46339;0.50251;0.92203;1;0.00099802
3;0.4311;0.48224;0.92203;1;0.00099736
4;0.42476;0.4351;0.94915;1;0.0009967
5;0.43496;0.42363;0.96271;1;0.00099604
6;0.41371;0.37986;0.97288;1;0.00099538
7;0.40863;0.36218;0.9661;1;0.00099472
8;0.39433;0.39914;0.95593;1;0.00099406
9;0.40714;0.35377;0.97288;1;0.0009934
10;0.39379;0.36845;0.97627;1;0.00099274
11;0.3934;0.36798;0.97966;1;0.00099208
12;0.37765;0.37495;0.97288;1;0.00099142
13;0.39292;0.36043;0.97966;1;0.00099076
14;0.37394;0.3503;0.96949;1;0.0009901
15;0.3725;0.33198;0.98644;1;0.00098944
16;0.38063;0.37679;0.97288;1;0.00098878
17;0.37953;0.37743;0.96949;1;0.00098812
18;0.37075;0.3394;0.97627;1;0.00098746
19;0.37054;0.34946;0.97288;1;0.0009868
20;0.36678;0.3547;0.97627;1;0.00098614
21;0.35878;0.37864;0.96949;1;0.00098548
22;0.35743;0.3543;0.97627;1;0.00098482
23;0.36113;0.35607;0.9661;1;0.00098416
24;0.34602;0.33716;0.98305;1;0.0009835
25;0.36196;0.36516;0.95932;1;0.00098284
26;0.3727;0.33929;0.97966;1;0.00098218
27;0.36358;0.38134;0.95254;1;0.00098152
28;0.3628;0.36893;0.98305;1;0.00098086
29;0.36033;0.37372;0.9661;1;0.0009802
30;0.35671;0.34708;0.97966;1;0.00097954
31;0.35104;0.36918;0.98644;1;0.00097888
32;0.35969;0.36352;0.96271;1;0.00097822
33;0.35876;0.38922;0.94915;1;0.00097756
34;0.35874;0.36194;0.96949;1;0.0009769
35;0.37026;0.33658;0.98305;1;0.00097624
36;0.36002;0.37335;0.97288;1;0.00097558
37;0.34929;0.35392;0.98644;1;0.00097492
38;0.35289;0.41753;0.93559;1;0.00097426
39;0.35173;0.34224;0.97288;1;0.0009736
40;0.37516;0.39615;0.95932;1;0.00097294
41;0.37017;0.36784;0.97288;1;0.00097228
42;0.35056;0.35345;0.97288;1;0.00097162
43;0.35531;0.35724;0.96949;1;0.00097096
44;0.35532;0.34389;0.97966;1;0.0009703
45;0.35361;0.36279;0.94915;1;0.00096964
46;0.35372;0.43256;0.95593;1;0.00096898
47;0.3509;0.3327;0.98305;1;0.00096832
48;0.34774;0.33279;0.98305;1;0.00096766
49;0.34531;0.35752;0.97288;1;0.000967
50;0.35114;0.34646;0.97288;1;0.00096634
51;0.33433;0.35689;0.9661;1;0.00096568
52;0.35128;0.33804;0.97627;1;0.00096502
53;0.34159;0.341;0.97288;1;0.00096436
54;0.35091;0.33485;0.98644;1;0.0009637
55;0.35539;0.4072;0.95593;1;0.00096304
56;0.36396;0.3577;0.96271;1;0.00096238
57;0.36349;0.35289;0.97627;1;0.00096172
58;0.36274;0.62183;0.80339;1;0.00096106
59;0.36345;0.35628;0.96949;1;0.0009604
60;0.36208;0.34326;0.97966;1;0.00095974
61;0.34833;0.33842;0.98305;1;0.00095908
62;0.34816;0.32746;0.98644;1;0.00095842
63;0.34653;0.35638;0.97288;1;0.00095776
64;0.34245;0.35533;0.97966;1;0.0009571
65;0.3548;0.32783;0.97966;1;0.00095644
66;0.35082;0.36569;0.97627;1;0.00095578
67;0.3508;0.3734;0.97288;1;0.00095512
68;0.34322;0.35385;0.97288;1;0.00095446
69;0.33649;0.34066;0.9661;1;0.0009538
70;0.34325;0.36064;0.9661;1;0.00095314
71;0.3374;0.35877;0.97966;1;0.00095248
72;0.35821;0.39812;0.95254;1;0.00095182
73;0.36593;0.40483;0.94915;1;0.00095116
74;0.35826;0.43297;0.90169;1;0.0009505
75;0.33709;0.34621;0.97288;1;0.00094984
76;0.34995;0.33527;0.97627;1;0.00094918
77;0.35315;0.3337;0.98305;1;0.00094852
78;0.3291;0.33507;0.97627;1;0.00094786
79;0.32907;0.3378;0.97288;1;0.0009472
80;0.33484;0.32879;0.97966;1;0.00094654
81;0.33889;0.36758;0.9661;1;0.00094588
82;0.35421;0.35888;0.96949;1;0.00094522
83;0.34975;0.33967;0.97288;1;0.00094456
84;0.33679;0.33292;0.98305;1;0.0009439
85;0.34338;0.39558;0.95932;1;0.00094324
86;0.33376;0.33399;0.98644;1;0.00094258
87;0.35338;0.35104;0.98305;1;0.00094192
88;0.35021;0.34289;0.9661;1;0.00094126
89;0.34166;0.33254;0.96949;1;0.0009406
90;0.33593;0.34609;0.97627;1;0.00093994
91;0.33281;0.33913;0.96949;1;0.00093928
92;0.35108;0.34354;0.96949;1;0.00093862
93;0.34678;0.32532;0.98305;1;0.00093796
94;0.34645;0.33871;0.98305;1;0.0009373
95;0.34378;0.34171;0.97627;1;0.00093664
96;0.33854;0.32619;0.98305;1;0.00093598
97;0.34835;0.3321;0.98644;1;0.00093532
98;0.35639;0.3362;0.98305;1;0.00093466
99;0.34925;0.39106;0.96271;1;0.000934
100;0.348;0.3189;0.98983;1;0.00093334
101;0.33803;0.35101;0.97627;1;0.00093268
102;0.33492;0.34984;0.98644;1;0.00093202
103;0.33002;0.33283;0.98644;1;0.00093136
104;0.32641;0.32003;0.98644;1;0.0009307
105;0.33675;0.32227;0.98644;1;0.00093004
106;0.35602;0.36364;0.96949;1;0.00092938
107;0.36783;0.37575;0.96271;1;0.00092872
108;0.34238;0.32595;0.98305;1;0.00092806
109;0.33926;0.3466;0.96949;1;0.0009274
110;0.34412;0.34129;0.97627;1;0.00092674
111;0.3387;0.32738;0.98305;1;0.00092608
112;0.34981;0.34592;0.97288;1;0.00092542
113;0.33458;0.34572;0.97627;1;0.00092476
114;0.33811;0.32491;0.98305;1;0.0009241
115;0.34274;0.34909;0.97627;1;0.00092344
116;0.33279;0.33254;0.97966;1;0.00092278
117;0.32837;0.33156;0.97288;1;0.00092212
118;0.3273;0.36783;0.97966;1;0.00092146
119;0.32879;0.36161;0.9661;1;0.0009208
120;0.3311;0.34326;0.98305;1;0.00092014
121;0.3432;0.32748;0.98305;1;0.00091948
122;0.34061;0.33425;0.98305;1;0.00091882
123;0.33324;0.34184;0.97627;1;0.00091816
124;0.33004;0.34377;0.97288;1;0.0009175
125;0.33294;0.33984;0.96949;1;0.00091684
126;0.34062;0.34551;0.98644;1;0.00091618
