                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.86012,                 10.005,                0.34576,                      1,              0.0009802
                      1,                0.61997,                0.63451,                0.84407,                      1,              0.0009604
                      2,                 0.6379,                0.54385,                 0.8678,                      1,              0.0009406
                      3,                0.58379,                0.60252,                0.89831,                      1,              0.0009208
                      4,                0.49676,                0.43993,                0.95254,                      1,               0.000901
                      5,                0.50352,                0.49773,                0.91186,                      1,              0.0008812
                      6,                0.47769,                0.41706,                0.93898,                      1,              0.0008614
                      7,                0.45808,                0.40647,                0.94237,                      1,              0.0008416
                      8,                0.44569,                0.41239,                0.95593,                      1,              0.0008218
                      9,                0.44182,                0.40437,                0.96271,                      1,               0.000802
                     10,                0.44385,                0.37921,                0.97288,                      1,              0.0007822
                     11,                0.41186,                0.41777,                0.95593,                      1,              0.0007624
                     12,                0.41665,                0.37045,                0.96949,                      1,              0.0007426
                     13,                0.43037,                0.37473,                 0.9661,                      1,              0.0007228
                     14,                0.42797,                0.39004,                0.96271,                      1,               0.000703
                     15,                 0.3894,                0.38876,                0.94915,                      1,              0.0006832
                     16,                0.41501,                0.37651,                0.97627,                      1,              0.0006634
                     17,                0.39609,                0.35274,                0.97627,                      1,              0.0006436
                     18,                0.39501,                0.38012,                0.96271,                      1,              0.0006238
                     19,                0.40231,                0.36334,                0.95593,                      1,               0.000604
                     20,                0.40154,                0.39276,                0.96271,                      1,              0.0005842
                     21,                0.37269,                0.35091,                0.97627,                      1,              0.0005644
                     22,                0.37919,                0.34995,                0.97966,                      1,              0.0005446
                     23,                0.37194,                0.35917,                0.96949,                      1,              0.0005248
                     24,                0.37152,                0.36478,                0.96271,                      1,               0.000505
                     25,                 0.3839,                0.34757,                0.97627,                      1,              0.0004852
                     26,                0.38429,                0.33044,                0.98983,                      1,              0.0004654
                     27,                0.36217,                0.34797,                0.97627,                      1,              0.0004456
                     28,                0.36122,                 0.3324,                0.98983,                      1,              0.0004258
                     29,                0.36755,                0.36112,                0.97288,                      1,               0.000406
                     30,                0.36551,                0.36165,                0.96949,                      1,              0.0003862
                     31,                0.35807,                0.36515,                0.97627,                      1,              0.0003664
                     32,                0.38078,                0.32805,                0.98983,                      1,              0.0003466
                     33,                0.36758,                 0.3417,                0.97288,                      1,              0.0003268
                     34,                0.35043,                0.32981,                0.97966,                      1,               0.000307
                     35,                0.35479,                0.32316,                0.98305,                      1,              0.0002872
                     36,                0.35238,                0.34178,                0.98305,                      1,              0.0002674
                     37,                0.33519,                0.32578,                0.98983,                      1,              0.0002476
                     38,                 0.3504,                0.34664,                0.97966,                      1,              0.0002278
                     39,                0.34036,                0.32353,                0.98305,                      1,               0.000208
                     40,                0.34084,                0.32712,                0.98305,                      1,              0.0001882
                     41,                0.35124,                0.33451,                0.98305,                      1,              0.0001684
                     42,                0.33325,                0.33668,                0.98305,                      1,              0.0001486
                     43,                0.33043,                0.34988,                0.98305,                      1,              0.0001288
                     44,                0.33245,                 0.3437,                0.98305,                      1,               0.000109
                     45,                0.33767,                0.32292,                0.98644,                      1,               8.92e-05
                     46,                0.32443,                0.33943,                0.98983,                      1,               6.94e-05
                     47,                0.32564,                0.33048,                0.98983,                      1,               4.96e-05
                     48,                0.32926,                0.32175,                0.98644,                      1,               2.98e-05
                     49,                 0.3236,                0.33354,                0.98983,                      1,                  1e-05
