                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.60021,                 0.6836,                 0.8339,                      1,              0.0009802
                      1,                0.48484,                0.47514,                0.95254,                      1,              0.0009604
                      2,                0.46477,                0.47649,                0.93898,                      1,              0.0009406
                      3,                  0.425,                0.45779,                0.93559,                      1,              0.0009208
                      4,                0.41965,                0.41959,                0.96271,                      1,               0.000901
                      5,                0.43191,                  0.419,                 0.9661,                      1,              0.0008812
                      6,                0.41294,                0.39642,                0.97627,                      1,              0.0008614
                      7,                0.39772,                0.37028,                0.97288,                      1,              0.0008416
                      8,                0.37993,                0.35882,                0.97966,                      1,              0.0008218
                      9,                0.39347,                0.36608,                 0.9661,                      1,               0.000802
                     10,                0.38066,                0.36428,                0.97627,                      1,              0.0007822
                     11,                0.37335,                0.36582,                0.97288,                      1,              0.0007624
                     12,                0.36286,                 0.3492,                0.97966,                      1,              0.0007426
                     13,                0.36782,                0.34899,                0.98305,                      1,              0.0007228
                     14,                0.36266,                0.33059,                0.98644,                      1,               0.000703
                     15,                 0.3532,                0.33056,                0.98983,                      1,              0.0006832
                     16,                0.36781,                0.36242,                0.97288,                      1,              0.0006634
                     17,                0.35455,                0.35631,                0.97966,                      1,              0.0006436
                     18,                0.35681,                 0.3353,                0.98644,                      1,              0.0006238
                     19,                 0.3602,                  0.328,                0.98305,                      1,               0.000604
                     20,                0.36725,                0.35483,                 0.9661,                      1,              0.0005842
                     21,                0.34189,                0.34189,                0.97966,                      1,              0.0005644
                     22,                0.34708,                0.35712,                0.97288,                      1,              0.0005446
                     23,                0.34093,                0.34262,                0.97627,                      1,              0.0005248
                     24,                0.33194,                0.33936,                0.97966,                      1,               0.000505
                     25,                   0.33,                0.32993,                0.98305,                      1,              0.0004852
                     26,                0.33824,                0.33464,                0.97966,                      1,              0.0004654
                     27,                0.33098,                0.33338,                0.98305,                      1,              0.0004456
                     28,                0.33081,                0.32375,                0.97627,                      1,              0.0004258
                     29,                0.33548,                0.33573,                0.97627,                      1,               0.000406
                     30,                0.33216,                0.33795,                0.97627,                      1,              0.0003862
                     31,                0.32679,                 0.3446,                0.98644,                      1,              0.0003664
                     32,                0.34099,                 0.3321,                0.98644,                      1,              0.0003466
                     33,                0.33622,                0.33487,                0.97627,                      1,              0.0003268
                     34,                0.32466,                0.33559,                0.98305,                      1,               0.000307
                     35,                0.32309,                0.31978,                0.98305,                      1,              0.0002872
                     36,                0.32066,                0.33943,                0.97966,                      1,              0.0002674
                     37,                0.31401,                0.33012,                0.98983,                      1,              0.0002476
                     38,                0.32146,                0.32603,                0.98305,                      1,              0.0002278
                     39,                0.31901,                0.31567,                0.98983,                      1,               0.000208
                     40,                0.32194,                0.31875,                0.98644,                      1,              0.0001882
                     41,                0.32207,                0.32557,                0.98644,                      1,              0.0001684
                     42,                0.31533,                0.32914,                0.98644,                      1,              0.0001486
                     43,                0.31203,                0.33788,                0.98305,                      1,              0.0001288
                     44,                0.31866,                0.32986,                0.98305,                      1,               0.000109
                     45,                 0.3142,                0.32281,                0.97966,                      1,               8.92e-05
                     46,                0.30968,                0.34494,                0.97966,                      1,               6.94e-05
                     47,                0.31003,                0.33058,                0.98305,                      1,               4.96e-05
                     48,                0.31118,                0.33426,                0.98305,                      1,               2.98e-05
                     49,                0.30925,                0.33087,                0.98305,                      1,                  1e-05
