                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.67549,                 13.182,                0.44407,                      1,              0.0009802
                      1,                0.53998,                 75.894,                0.50508,                      1,              0.0009604
                      2,                0.54564,                 3.2982,                0.61356,                      1,              0.0009406
                      3,                0.49971,                0.79666,                0.79322,                      1,              0.0009208
                      4,                0.48029,                0.53275,                0.88814,                      1,               0.000901
                      5,                0.47056,                0.52701,                0.91186,                      1,              0.0008812
                      6,                0.46846,                0.47038,                0.92881,                      1,              0.0008614
                      7,                0.45019,                0.36524,                0.97627,                      1,              0.0008416
                      8,                0.41287,                0.38102,                0.96271,                      1,              0.0008218
                      9,                0.42513,                0.44287,                0.93559,                      1,               0.000802
                     10,                0.41286,                0.38078,                0.96271,                      1,              0.0007822
                     11,                0.39654,                0.39631,                0.94915,                      1,              0.0007624
                     12,                0.41297,                0.39323,                0.95593,                      1,              0.0007426
                     13,                0.41568,                0.37885,                0.95932,                      1,              0.0007228
                     14,                0.39482,                0.38765,                0.96271,                      1,               0.000703
                     15,                0.38267,                 0.3505,                0.97966,                      1,              0.0006832
                     16,                 0.3967,                0.37463,                0.97627,                      1,              0.0006634
                     17,                 0.3891,                0.36893,                0.97627,                      1,              0.0006436
                     18,                0.38266,                0.38293,                 0.9661,                      1,              0.0006238
                     19,                0.38103,                0.35254,                0.98305,                      1,               0.000604
                     20,                0.38482,                0.34924,                0.97288,                      1,              0.0005842
                     21,                0.35983,                0.36154,                0.98305,                      1,              0.0005644
                     22,                0.37011,                 0.3492,                0.97627,                      1,              0.0005446
                     23,                0.36568,                0.34586,                0.97288,                      1,              0.0005248
                     24,                0.35591,                0.35708,                 0.9661,                      1,               0.000505
                     25,                0.36242,                0.34875,                0.97288,                      1,              0.0004852
                     26,                0.36297,                0.36765,                 0.9661,                      1,              0.0004654
                     27,                0.36597,                0.34586,                0.97288,                      1,              0.0004456
                     28,                0.35074,                 0.3424,                0.98644,                      1,              0.0004258
                     29,                0.35449,                0.35517,                0.97966,                      1,               0.000406
                     30,                0.36848,                0.34396,                0.97627,                      1,              0.0003862
                     31,                0.34415,                0.34841,                0.97966,                      1,              0.0003664
                     32,                0.37741,                0.36279,                0.97966,                      1,              0.0003466
                     33,                0.36369,                0.33989,                0.98644,                      1,              0.0003268
                     34,                0.33807,                0.33528,                0.97966,                      1,               0.000307
                     35,                0.34396,                0.33863,                0.97966,                      1,              0.0002872
                     36,                0.34787,                0.33507,                0.98644,                      1,              0.0002674
                     37,                0.32531,                0.34321,                0.98644,                      1,              0.0002476
                     38,                0.33249,                0.34534,                0.97288,                      1,              0.0002278
                     39,                0.33196,                0.32479,                0.97966,                      1,               0.000208
                     40,                0.33563,                0.32216,                0.98305,                      1,              0.0001882
                     41,                0.33537,                0.33709,                0.98644,                      1,              0.0001684
                     42,                0.32479,                0.33977,                0.98644,                      1,              0.0001486
                     43,                0.32347,                0.34943,                0.98644,                      1,              0.0001288
                     44,                 0.3323,                 0.3408,                0.98644,                      1,               0.000109
                     45,                0.32297,                0.32743,                0.98644,                      1,               8.92e-05
                     46,                0.32084,                0.34441,                0.98644,                      1,               6.94e-05
                     47,                0.31936,                0.33155,                0.98644,                      1,               4.96e-05
                     48,                 0.3185,                0.32601,                0.98644,                      1,               2.98e-05
                     49,                 0.3144,                0.32766,                0.98644,                      1,                  1e-05
