;             train/loss;              test/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
0;0,57668;1,0874;0,5283;1;              0.0009802
1;0,49896;0,90954;0,5566;1;              0.0009604
2;0,46861;0,3695;0,89623;1;              0.0009406
3;0,44002;0,34551;0,91274;1;              0.0009208
4;0,40905;0,31578;0,95047;1;               0.000901
5;0,39002;0,31931;0,96462;1;              0.0008812
6;0,38944;0,36263;0,89387;1;              0.0008614
7;0,37838;0,44794;0,87972;1;              0.0008416
8;0,39131;0,34523;0,9316;1;              0.0008218
9;0,39363;0,34906;0,92217;1;               0.000802
10;0,36863;0,30381;0,9434;1;              0.0007822
11;0,36835;0,29305;0,95047;1;              0.0007624
12;0,35545;0,31954;0,9434;1;              0.0007426
13;0,35079;0,2757;0,95519;1;              0.0007228
14;0,33947;0,30387;0,93396;1;               0.000703
15;0,33826;0,29615;0,96226;1;              0.0006832
16;0,33053;0,31103;0,94104;1;              0.0006634
17;0,31829;0,27556;0,97406;1;              0.0006436
18;0,31596;0,25395;0,97406;1;              0.0006238
19;0,3117;0,26298;0,97406;1;               0.000604
20;0,31245;0,2795;0,97877;1;              0.0005842
21;0,31065;0,25788;0,97642;1;              0.0005644
22;0,31007;0,25215;0,97406;1;              0.0005446
23;0,29962;0,25782;0,97877;1;              0.0005248
24;0,30858;0,27077;0,98113;1;               0.000505
25;0,31435;0,24156;0,97877;1;              0.0004852
26;0,3125;0,28801;0,95755;1;              0.0004654
27;0,31191;0,26327;0,97406;1;              0.0004456
28;0,30125;0,24524;0,98821;1;              0.0004258
29;0,30291;0,25947;0,96934;1;               0.000406
30;0,30335;0,26266;0,9717;1;              0.0003862
31;0,29446;0,27595;0,95519;1;              0.0003664
32;0,30569;0,24541;0,99057;1;              0.0003466
33;0,29652;0,25347;0,98113;1;              0.0003268
34;0,29367;0,24595;0,98113;1;               0.000307
35;0,29632;0,24015;0,98821;1;              0.0002872
36;0,29688;0,25107;0,98349;1;              0.0002674
37;0,29864;0,25026;0,98349;1;              0.0002476
38;0,28988;0,236;0,98585;1;              0.0002278
39;0,28527;0,25015;0,98349;1;               0.000208
40;0,27617;0,24429;0,98113;1;              0.0001882
41;0,28353;0,23099;0,98585;1;              0.0001684
42;0,28174;0,23721;0,98349;1;              0.0001486
43;0,28008;0,24247;0,98113;1;              0.0001288
44;0,29033;0,23243;0,98349;1;               0.000109
45;0,27967;0,25125;0,98349;1;               8.92e-05
46;0,28766;0,23787;0,99057;1;               6.94e-05
47;0,27215;0,24236;0,98585;1;               4.96e-05
48;0,27922;0,23927;0,98585;1;               2.98e-05
49;0,27681;0,23122;0,99057;1;1,00E-05
